scenario,run,algorithm,fe,objective
S2,0,Standard-ABC,404,0.5065070819071451
S2,0,Standard-ABC,409,0.5065070819071451
S2,0,Standard-ABC,414,0.5024779440448245
S2,0,Standard-ABC,419,0.5024779440448245
S2,0,Standard-ABC,424,0.5024779440448245
S2,0,Standard-ABC,429,0.49344778846704374
S2,0,Standard-ABC,434,0.49344778846704374
S2,0,Standard-ABC,439,0.49344778846704374
S2,0,Standard-ABC,444,0.49264559309868083
S2,0,Standard-ABC,449,0.4923967407160876
S2,0,Standard-ABC,454,0.4923967407160876
S2,0,Standard-ABC,459,0.4895005941604824
S2,0,Standard-ABC,464,0.4895005941604824
S2,0,Standard-ABC,469,0.48888371747050363
S2,0,Standard-ABC,474,0.48888371747050363
S2,0,Standard-ABC,479,0.48888371747050363
S2,0,Standard-ABC,484,0.48888371747050363
S2,0,Standard-ABC,489,0.48888371747050363
S2,0,Standard-ABC,494,0.48888371747050363
S2,0,Standard-ABC,499,0.48888371747050363
S2,0,GA,14,0.5822999114977766
S2,0,GA,19,0.5822999114977766
S2,0,GA,24,0.5822999114977766
S2,0,GA,29,0.5026537960977757
S2,0,GA,34,0.4743644154366105
S2,0,GA,39,0.4743644154366105
S2,0,GA,44,0.4743644154366105
S2,0,GA,49,0.4743644154366105
S2,0,GA,54,0.4743644154366105
S2,0,GA,59,0.4577013471673828
S2,0,GA,64,0.4577013471673828
S2,0,GA,69,0.45517968305721845
S2,0,GA,74,0.4511687488617637
S2,0,GA,79,0.4511687488617637
S2,0,GA,84,0.44906183025440877
S2,0,GA,89,0.41735050195131107
S2,0,GA,94,0.41735050195131107
S2,0,GA,99,0.41735050195131107
S2,0,GA,104,0.41735050195131107
S2,0,GA,109,0.41735050195131107
S2,0,GA,114,0.41735050195131107
S2,0,GA,119,0.41735050195131107
S2,0,GA,124,0.41323635189748315
S2,0,GA,129,0.41323635189748315
S2,0,GA,134,0.39765113545832165
S2,0,GA,139,0.39765113545832165
S2,0,GA,144,0.39765113545832165
S2,0,GA,149,0.39765113545832165
S2,0,GA,154,0.39765113545832165
S2,0,GA,159,0.39425946952378255
S2,0,GA,164,0.39425946952378255
S2,0,GA,169,0.39425946952378255
S2,0,GA,174,0.3938584562686504
S2,0,GA,179,0.3938584562686504
S2,0,GA,184,0.38922629180800944
S2,0,GA,189,0.38922629180800944
S2,0,GA,194,0.3847833967526328
S2,0,GA,199,0.3847833967526328
S2,0,GA,204,0.3847833967526328
S2,0,GA,209,0.3847833967526328
S2,0,GA,214,0.3847833967526328
S2,0,GA,219,0.3847833967526328
S2,0,GA,224,0.38217270558423594
S2,0,GA,229,0.37798937584381226
S2,0,GA,234,0.37759359909485013
S2,0,GA,239,0.37759359909485013
S2,0,GA,244,0.3727789525683858
S2,0,GA,249,0.3727789525683858
S2,0,GA,254,0.3720451474076827
S2,0,GA,259,0.36833607306095173
S2,0,GA,264,0.36833607306095173
S2,0,GA,269,0.36833607306095173
S2,0,GA,274,0.3658582766089386
S2,0,GA,279,0.3557922143695518
S2,0,GA,284,0.3557922143695518
S2,0,GA,289,0.3557922143695518
S2,0,GA,294,0.3557922143695518
S2,0,GA,299,0.3557922143695518
S2,0,GA,304,0.3500603432841076
S2,0,GA,309,0.3500603432841076
S2,0,GA,314,0.3500603432841076
S2,0,GA,319,0.3483560318733062
S2,0,GA,324,0.3483560318733062
S2,0,GA,329,0.3479906081254325
S2,0,GA,334,0.3479906081254325
S2,0,GA,339,0.3479906081254325
S2,0,GA,344,0.3479906081254325
S2,0,GA,349,0.3479906081254325
S2,0,GA,354,0.3479906081254325
S2,0,GA,359,0.3479906081254325
S2,0,GA,364,0.3451504186414234
S2,0,GA,369,0.33917232394855706
S2,0,GA,374,0.33917232394855706
S2,0,GA,379,0.3390429489761009
S2,0,GA,384,0.3390429489761009
S2,0,GA,389,0.3390429489761009
S2,0,GA,394,0.3390429489761009
S2,0,GA,399,0.3390429489761009
S2,0,GA,404,0.33765074884767327
S2,0,GA,409,0.33658313681395136
S2,0,GA,414,0.3317572632305125
S2,0,GA,419,0.3317572632305125
S2,0,GA,424,0.33102302159645997
S2,0,GA,429,0.33102302159645997
S2,0,GA,434,0.33102302159645997
S2,0,GA,439,0.33102302159645997
S2,0,GA,444,0.33102302159645997
S2,0,GA,449,0.3297103136628216
S2,0,GA,454,0.3287763154792448
S2,0,GA,459,0.32647703444551646
S2,0,GA,464,0.32647703444551646
S2,0,GA,469,0.3253768626416137
S2,0,GA,474,0.3253768626416137
S2,0,GA,479,0.3253768626416137
S2,0,GA,484,0.3253768626416137
S2,0,GA,489,0.3224263265668687
S2,0,GA,494,0.31638240194266676
S2,0,GA,499,0.31638240194266676
S2,0,PSO,14,1.6688094625959646
S2,0,PSO,19,1.2506100768393595
S2,0,PSO,24,1.13545428585249
S2,0,PSO,29,1.13545428585249
S2,0,PSO,34,1.13545428585249
S2,0,PSO,39,1.0835200348125824
