scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,ood_case
S3,9,Standard-ABC,0.8400886375839838,2.0901727628293982,5.659371424894434,0.2285733247254704,0.35,0.65,0.8074041078763993,0.9973864188091542,0.0026135811908457205,1.0412709745887787,0.8578879324198668,0.26389504876319053,0.20809409986303556,0.40700542649964977,0.41,0.7508433000184596,350,1,1.7724993456146638,1.0191670016322976,0.0026135811908457205,0.8889968982411365,0.14211206758013317,bursty_heavy_load
S3,9,Delay-Greedy,0.3600046316812575,1.088298303450929,2.582967478665918,0.119536360852416,0.62,0.38,0.1426430005056745,0.9981932858710398,0.0018067141289602473,1.020041127712686,0.9736502057507551,0.5866845994568342,0.3431265700849581,0.1645080423273587,0.94,0.004286599927581847,1,1,0.7575413505423514,0.9597970301276937,0.0018067141289602473,0.08934371025334752,0.026349794249244884,bursty_heavy_load
S3,10,RFOTO-ABC,0.35140945445346067,0.9437289193222711,1.8118041437680712,0.11599862503931078,0.76,0.24,0.09948193704488208,0.9989769398761582,0.0010230601238417636,1.011674287641365,0.9816243684776192,0.687546113161869,0.22888944881751017,0.1368196487849347,0.78,0.6788581000873819,350,1,0.7433844921093137,0.9054683941090382,0.0010230601238417636,0.10712846222660428,0.018375631522380753,bursty_heavy_load
S3,10,Standard-ABC,0.8113725049929623,2.0530867437239255,4.9558707542319755,0.20528086391465575,0.31,0.69,0.8414157903061564,0.9985182005126902,0.0014817994873098028,1.0729359871883513,0.8530700831311301,0.2828445857959502,0.19398797706835244,0.41501401265414034,0.34,0.7511131000937894,350,1,1.671801755147521,1.1313160499434793,0.0014817994873098028,0.8055552451470709,0.14692991686886991,bursty_heavy_load
S3,10,Delay-Greedy,0.41554038313749153,1.0162928777586755,2.0601179834940777,0.12417324624220365,0.63,0.37,0.13632102961096215,0.9987443609878209,0.0012556390121789861,1.0143003981438352,0.9758103973041374,0.5997143195254302,0.22888944881751017,0.15744600558825914,0.96,0.0040065000066533685,1,1,0.7995010037932304,1.1924239977646953,0.0012556390121789861,0.13168785727065765,0.024189602695862567,bursty_heavy_load
S3,11,RFOTO-ABC,0.38388667708390706,1.0035492652231204,2.379166828978476,0.1306160542569921,0.72,0.28,0.14545569074084827,0.9983954945920229,0.001604505407977057,1.0155168806788588,0.9724382924701852,0.6102218913980555,0.23891055073563838,0.16835345514853944,0.73,0.6421761000528932,350,1,0.852500436424256,0.804477638654661,0.001604505407977057,0.182539059874305,0.027561707529814794,bursty_heavy_load
S3,11,Standard-ABC,0.8096316122821988,2.0046081154612265,5.4684660000145655,0.22632309180341534,0.37,0.63,0.8340587334433479,0.9985161845280799,0.001483815471920179,1.0363361170600611,0.8617509765620366,0.25598077167285743,0.09801831784713476,0.4005346974101589,0.44,0.6758012999780476,350,1,1.692785121167869,1.0007266245208193,0.001483815471920179,0.8611688868081203,0.13824902343796341,bursty_heavy_load
S3,11,Delay-Greedy,0.4444546641654801,1.125075079470976,3.216184921663116,0.1252028130490571,0.57,0.43,0.228368833174046,0.9980598683826121,0.0019401316173880668,1.0184211163460863,0.958478350423153,0.42332867813176567,0.23891055073563838,0.20813549277815815,0.89,0.004223500029183924,1,1,0.9804041664388539,0.806753235587955,0.0019401316173880668,0.28689745383027454,0.04152164957684701,bursty_heavy_load
S3,12,RFOTO-ABC,0.3745343430807338,1.084904585811732,2.240631247444328,0.12621872145182528,0.69,0.31,0.18388638494660803,0.9992971495273835,0.0007028504726164309,1.0139661625813654,0.9640137196756028,0.5279804383725953,0.2857119074234734,0.1932087861231479,0.74,0.7047868999652565,350,1,0.8655992009455006,0.7369551769110071,0.0007028504726164309,0.168211016658099,0.03598628032439721,bursty_heavy_load
S3,12,Standard-ABC,0.8423548009466643,1.9843192805278074,4.783816350616184,0.23131240207568463,0.3,0.7,0.7934766459202269,0.9973277970956056,0.0026722029043943483,1.073490197416584,0.8637682240005543,0.28776867499627057,0.26189689930196336,0.3971372256202267,0.49,0.7296437999466434,350,1,1.7057497312745162,1.259486941883345,0.0026722029043943483,0.8241004794589515,0.1362317759994457,bursty_heavy_load
S3,12,Delay-Greedy,0.413630514183605,1.1701058681067003,2.225923749138804,0.12355477643045956,0.54,0.46,0.19633517737358377,0.9984452255933224,0.0015547744066774915,1.0244886047488022,0.9643530246565805,0.5038791884470143,0.2857119074234734,0.19226193963684238,0.95,0.005218700040131807,1,1,0.9141538725096924,0.9094198026754253,0.0015547744066774915,0.17208429788807886,0.03564697534341954,bursty_heavy_load
S3,13,RFOTO-ABC,0.3922267663189327,1.0928165693110075,2.895028750400256,0.15827463599180125,0.56,0.44,0.24012667104640367,0.9991153255150564,0.0008846744849435406,1.0193820745976656,0.9524034106291666,0.42152328056140853,0.3622977279963364,0.22355142666779015,0.67,0.6979714999906719,350,1,0.8353667261003266,0.8694082358532045,0.0008846744849435406,0.18262970445302668,0.04759658937083344,bursty_heavy_load
