scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,w_fairness
S3,7,RFOTO-ABC,0.29631969016807364,0.7239821497312051,1.6571833017200421,0.08211883971231676,0.81,0.19,0.10360015770416953,0.9978824037181401,0.0021175962818597736,1.0183764329240854,0.9799466151781688,0.6336143229634928,0.22601591630772194,0.14305157224596884,0.73,0.6936602999921888,350,1,0.6959229561664484,0.7372342593301997,0.0021175962818597736,0.10235571732570048,0.020053384821831166,0.2
S3,8,RFOTO-ABC,0.34135233361160255,0.8501936014263888,1.61663189170319,0.11582708182309996,0.65,0.35,0.12841328527806284,0.9993268853363605,0.0006731146636395502,1.0099356526372896,0.9764347924533755,0.5941506607930378,0.32176546685986185,0.1553509851355579,0.65,0.6403467999771237,350,1,0.7673241180851027,0.9214758640373346,0.0006731146636395502,0.10996886319626505,0.0235652075466245,0.2
S3,9,RFOTO-ABC,0.275649713929513,0.691405403771287,1.3585862524956762,0.08339093447551199,0.84,0.16,0.07233923119638846,0.9987574359183563,0.0012425640816436656,1.0181015588239872,0.9859826939339279,0.804963241634132,0.2685168018054461,0.11923331866188448,0.71,0.6610768999671564,350,1,0.6374034701127198,0.7458084778663211,0.0012425640816436656,0.07371396594644151,0.0140173060660721,0.2
S3,10,RFOTO-ABC,0.3289382653242485,0.7570194992828797,1.4985179507935698,0.08781577830041545,0.83,0.17,0.09169908105183086,0.9983360836608347,0.0016639163391653777,1.01216106783301,0.9811261099318372,0.6655136296640728,0.2818226570857298,0.13869739167822406,0.65,0.7417324000271037,350,1,0.7880368206568682,0.7711997617066099,0.0016639163391653777,0.1298570103179514,0.018873890068162757,0.2
S3,11,RFOTO-ABC,0.3534105663154478,0.8653962240143097,1.7486924958203989,0.11699776457864067,0.73,0.27,0.12883822135961706,0.9986650316577523,0.001334968342247642,1.0211496614333042,0.9733572990521201,0.5159964764191622,0.3332173795481748,0.16544474606061926,0.7,0.6639481000602245,350,1,0.8030505988279559,0.8979395866859795,0.001334968342247642,0.13646628552161355,0.026642700947879905,0.2
S3,12,RFOTO-ABC,0.33004841917794203,0.8808992423408469,2.2225200703508543,0.12485253762483545,0.73,0.27,0.12353953079886466,0.9994416495707048,0.0005583504292949936,1.013543910630627,0.9751706630839473,0.5579982528255305,0.3470590974004963,0.15956669395055134,0.67,0.6915534000145271,350,1,0.7524332956960218,0.8873021810026457,0.0005583504292949936,0.09633956048656378,0.024829336916052713,0.2
S3,13,RFOTO-ABC,0.2868575599506216,0.7970716360058046,1.9191461186539398,0.09730056347547823,0.78,0.22,0.11690561516986012,0.9997828367595907,0.0002171632404094115,1.0116588352195295,0.9759417028272422,0.569791777902405,0.29632685876703146,0.15700753831543335,0.63,0.6535246999701485,350,1,0.6818407892731191,0.7301764083412153,0.0002171632404094115,0.07857471232312198,0.02405829717275776,0.2
S3,14,RFOTO-ABC,0.2761901758260389,0.6699950064259329,1.6379489017544053,0.08521888975705114,0.81,0.19,0.0920106507263096,0.9997614848621886,0.00023851513781132815,1.0073050863004263,0.9816425315125739,0.6538166726591577,0.27290782611704895,0.1367507485631736,0.68,0.6895881000673398,350,1,0.6676908089799695,0.6696193555783843,0.00023851513781132815,0.08855116460910437,0.018357468487426143,0.2
S3,0,RFOTO-ABC,0.25961252495934123,0.8598735513288868,1.7276199018093519,0.10118306225247659,0.75,0.25,0.10858521042679808,0.9976283350341123,0.002371664965887814,1.0091370449362438,0.9771899501980388,0.6099245255130716,0.350255312402917,0.1527825030399647,0.7,0.653102400014177,350,1,0.6991503515909965,0.7301455599215478,0.002371664965887814,0.08860260057445013,0.02281004980196122,0.3
S3,1,RFOTO-ABC,0.2641654300580298,0.7293561603448047,1.7723060264939883,0.08288564882846515,0.79,0.21,0.12590229279103204,0.998112335560923,0.001887664439076928,1.0158464768158493,0.9736945641596632,0.5726127416679643,0.27116629861750025,0.16436576982763487,0.66,0.6710864999331534,350,1,0.6672887275115332,0.8254216612764838,0.001887664439076928,0.08070659794296924,0.026305435840336844,0.3
S3,2,RFOTO-ABC,0.2677841365807768,0.7875320931788802,1.6795089863600405,0.10536596029303567,0.8,0.2,0.09060012443734608,0.9986455940458225,0.0013544059541776155,1.014408752645151,0.9824908816221112,0.6230886505140133,0.25625539637920697,0.1334958839093586,0.73,0.6775749999796972,350,1,0.7173157664599153,0.7690924137391795,0.0013544059541776155,0.09529778000351322,0.01750911837788882,0.3
S3,3,RFOTO-ABC,0.2929091847556353,0.7974987309486633,1.6133490641541732,0.10040577134386566,0.73,0.27,0.13339285401165746,0.998264122401291,0.0017358775987089937,1.0153407846273688,0.9729975905668892,0.546684370645481,0.28157030672755223,0.16658863767563933,0.65,0.68950900004711,350,1,0.773251109031183,0.8239883587518365,0.0017358775987089937,0.11432256013501549,0.02700240943311083,0.3
S3,4,RFOTO-ABC,0.3110890743917093,0.9069321929846673,2.076594617052895,0.1173147108307587,0.64,0.36,0.14821257154672515,0.9990288629590894,0.0009711370409105957,1.0128103614678454,0.9718531052239818,0.5003008918486981,0.3096759908378046,0.17018251263988976,0.71,0.6625987999141216,350,1,0.7797166180102189,0.88538853387565,0.0009711370409105957,0.1582633809749105,0.028146894776018172,0.3
S3,5,RFOTO-ABC,0.3003126116930624,0.9032636565204061,2.217351074428767,0.10015269756530369,0.68,0.32,0.15864658065283013,0.9997304032948928,0.0002695967051071779,1.013244715348129,0.9699426223438027,0.5943150543136928,0.25718074820089315,0.17603641763009406,0.75,0.6539695999817923,350,1,0.7594673122460637,0.8925176064623827,0.0002695967051071779,0.11966981015112242,0.030057377656197315,0.3
S3,6,RFOTO-ABC,0.31742913905339437,0.8302087789179317,1.5336242692094513,0.11495436622490146,0.74,0.26,0.11825366876222851,0.9996047240342765,0.0003952759657235383,1.013878707304716,0.9770417612061943,0.6321224048071343,0.3126510259643594,0.1532896105730441,0.71,0.7546785000013188,350,1,0.8519641215277652,0.8061782427753379,0.0003952759657235383,0.17235795376568078,0.022958238793805652,0.3
