scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,n_users,n_servers,candidate_limit
S2,5,RFOTO-ABC,0.1878677530818258,0.5466737558558032,1.1316034057202966,0.07203283307307329,0.96,0.04,0.038179202771527386,0.9978461993059006,0.0021538006940994593,1.0174022416651083,0.9914004730853162,0.9632084077766468,0.3618011967249559,0.09313495715999018,0.96,0.521991099929437,320,1,0.4077620321621197,0.5200575555828538,0.0021538006940994593,0.02479169011138142,0.008599526914683797,50,5,4
S2,5,Standard-ABC,0.5801249638574785,1.2243395588011843,3.344026814971158,0.17634739732089413,0.5,0.5,0.42155409283681733,0.9968683644882408,0.0031316355117592186,1.0731366418834487,0.9186981025208902,0.3679828011273754,0.22449900874075365,0.29748421828476823,0.64,0.5017888000002131,320,1,1.0708227315668126,1.4320869466614272,0.0031316355117592186,0.33913850896937153,0.08130189747910976,50,5,4
S2,5,Delay-Greedy,0.19562121267448035,0.5767356464921313,1.2097634529523682,0.07261495957267078,0.94,0.06,0.041439856946092195,0.9978857420336651,0.0021142579663348425,1.0190683011541806,0.9907904011973071,0.9562382243961163,0.3618011967249559,0.09641163779032942,0.96,0.003336199908517301,1,1,0.42697230099332845,0.5356439767216107,0.0021142579663348425,0.026908998016942985,0.009209598802692898,50,5,4
S2,6,RFOTO-ABC,0.1738683032439716,0.4386056026424567,0.7943857045845026,0.057292123421984205,1.0,0.0,0.0,0.9980706474013732,0.0019293525986266479,1.0037083771651647,0.9998605786380479,0.9972424396613461,0.9158852789179559,0.011808505535343452,0.92,0.5361440000124276,320,1,0.38844644124719946,0.508999394721024,0.0019293525986266479,0.0,0.00013942136195210786,50,5,4
S2,6,Standard-ABC,0.5332323952349527,1.0820431825944907,3.1344964545431226,0.1706429236390063,0.58,0.42,0.39759219408977836,0.9961566571945935,0.0038433428054065245,1.0537611721148996,0.9213054167136366,0.39077828915352447,0.26451689080086144,0.2922608262258619,0.56,0.5535263000056148,320,1,1.0309025311245383,1.1201769738103735,0.0038433428054065245,0.37962944131290494,0.07869458328636336,50,5,4
S2,6,Delay-Greedy,0.19281811240525878,0.5061467573944598,1.0893950630625284,0.063640754465243,0.94,0.06,0.007032852031478649,0.9988325419240996,0.001167458075900325,1.008205613670701,0.9988996523273954,0.9909676733108621,0.7906735205242107,0.03318975401136712,1.0,0.0027140999445691705,1,1,0.42675873713311074,0.5652307236348514,0.001167458075900325,0.003781103242730457,0.0011003476726045847,50,5,4
S2,7,RFOTO-ABC,0.20166667243264794,0.4720087847366626,0.7280274345456342,0.04442430737391866,0.98,0.02,0.04441244749037791,0.9986133466547986,0.0013866533452012587,1.005061290404308,0.9904904109260845,0.9817378896664687,0.3104989917203138,0.0979841292692179,0.96,0.5654389000264928,320,1,0.4226655764159988,0.533745003250014,0.0013866533452012587,0.056939035244074246,0.009509589073915525,50,5,4
S2,7,Standard-ABC,0.4578049613935743,1.0384838287752967,3.4784628330914438,0.11701378131051463,0.62,0.38,0.31422236860831015,0.9939572816583359,0.006042718341664212,1.043151765025709,0.936724414559516,0.35970989577683227,0.3104989917203138,0.2599035228465951,0.58,0.5918282000347972,320,1,0.9646221132422269,0.7926244632852447,0.006042718341664212,0.34822352842330184,0.06327558544048395,50,5,4
S2,7,Delay-Greedy,0.23408536438022157,0.5351675418549906,0.6982240024443812,0.04432114169351628,0.96,0.04,0.09457763478070247,0.9992889598446455,0.0007110401553545476,1.005746241221458,0.980341834473006,0.9826912339710064,0.2850416391998701,0.1416063490870541,0.96,0.0028089999686926603,1,1,0.48752172803342486,0.5253377002050067,0.0007110401553545476,0.12125337792397752,0.019658165526993954,50,5,4
S2,8,RFOTO-ABC,0.21509419857389203,0.5247719751558343,1.2081876296847152,0.06840374305692422,0.96,0.04,0.015072711377576709,0.9987558069749798,0.0012441930250202571,1.0134806133600713,0.9968116848351567,0.9821729129128827,0.6303164452812585,0.05655539790726562,0.98,0.6015051000285894,320,1,0.43744821915385895,0.6849004750163149,0.0012441930250202571,0.009079946612998019,0.003188315164843303,50,5,4
S2,8,Standard-ABC,0.5729510668872971,1.3211522143044858,4.518022058099417,0.10794861353244806,0.56,0.44,0.5279045968380939,0.9968169974498113,0.003183002550188583,1.0385696048082973,0.8948903250430671,0.29593115264781494,0.2735367226890649,0.34271762546460544,0.46,0.5544590000063181,320,1,1.245422840104719,0.8190199190794243,0.003183002550188583,0.48935726898250476,0.10510967495693291,50,5,4
