scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,diagnostic,assigned_tasks,active_server_count,assignment_entropy,task_count_cv,bandwidth_util_cv,cpu_util_cv,bandwidth_share_cv,cpu_share_cv,bandwidth_util_mean,cpu_util_mean
S4,5,RFOTO-ABC,0.32328542409182104,0.6684307171878414,1.642497899682497,0.08043820716299978,0.86,0.14,0.09868156629103758,0.9969729118495384,0.0030270881504616976,1.0302528616263003,0.9785965965395723,0.5582888280692289,0.27166097769663833,0.14789025867716213,0.83,1.2001460999963456,400,1,0.7164845592262546,0.6764456926200181,0.0030270881504616976,0.1555260089723925,0.021403403460427683,resource_skew,83.0,8.0,0.9926951914892778,0.17334330807154408,1.1775693440128312e-16,1.6653345369377348e-16,0.518508399964445,0.5375553806079312,1.0,1.0
S4,5,RFOTO-ABC-D,0.3070074644443489,0.6157461805797123,1.451627433008682,0.07147148275471317,0.88,0.12,0.09273618227418635,0.996820425000831,0.003179574999169077,1.0316677872787186,0.979556795990176,0.5608245213469679,0.27166097769663833,0.14446401151768132,0.84,0.7362848999982816,400,1,0.7116348712517687,0.587597601018778,0.003179574999169077,0.14902684350913037,0.020443204009824023,resource_skew,84.0,8.0,0.9927501053027901,0.17169291787923757,7.850462293418876e-17,5.551115123125783e-17,4.5420806848982187e-17,8.106231689453127e-17,1.0,1.0
S4,6,RFOTO-ABC,0.23005946648390954,0.5476823751483556,0.9940916453871937,0.07214423426797549,0.94,0.06,0.043826067427600306,0.9989908919313301,0.0010091080686698561,1.0151180993772007,0.9897748081377438,0.8476176778707015,0.45738626412789246,0.1016406736783176,0.84,1.1162080000067363,400,1,0.49410155327075844,0.6340017126343978,0.0010091080686698561,0.03879288351195143,0.010225191862256233,resource_skew,84.0,8.0,0.9950556136794035,0.14285714285714285,5.551115123125783e-17,1.1775693440128312e-16,0.5593122726560161,0.5622895450309886,1.0,1.0
S4,6,RFOTO-ABC-D,0.20775461435796969,0.4873035502267132,0.994825627491032,0.06435561331570402,0.94,0.06,0.037869709232454744,0.9989154651591344,0.0010845348408655509,1.013610031579746,0.9911772367158153,0.9589234265911207,0.45738626412789246,0.09434668687023942,0.84,0.7104926999963936,400,1,0.4801686978922314,0.5350154588734493,0.0010845348408655509,0.023679198372374546,0.008822763284184743,resource_skew,84.0,8.0,0.9950556136794035,0.14285714285714285,1.4686870114880517e-16,3.925231146709438e-17,4.180485275875789e-17,6.675720214843752e-17,1.0,1.0
S4,7,RFOTO-ABC,0.25268867590807986,0.5603654955527684,1.2159043032967465,0.07193687912470603,0.93,0.07,0.024404372203317367,0.9989232838587436,0.001076716141256241,1.024946919242145,0.9950827819890654,0.8568481047086098,0.5735909014696632,0.07029592111205768,0.86,1.167842599999858,400,1,0.5341649033194115,0.7595201700759462,0.001076716141256241,0.017065994547774386,0.0049172180109345875,resource_skew,86.0,8.0,0.9849816840164268,0.25369097941013286,9.614813431917819e-17,1.7109685898544713e-16,0.5727772571740956,0.5959691346254399,1.0,1.0
S4,7,RFOTO-ABC-D,0.23722326744573707,0.5059188382903448,1.2874333944401815,0.06324218112526968,0.93,0.07,0.029509674388688407,0.9989008049451074,0.001099195054892539,1.0254130174140377,0.9938182536816177,0.8078602863580335,0.5735909014696632,0.07886823190928068,0.86,0.7395220999969752,400,1,0.5367665065639713,0.6384613672325754,0.001099195054892539,0.02446133904448848,0.0061817463183823085,resource_skew,86.0,8.0,0.9825891000705088,0.27020814043307556,1.5700924586837752e-16,1.2412670766236366e-16,8.151799261530187e-17,9.298324584960937e-17,1.0,1.0
S4,8,RFOTO-ABC,0.26153942092247456,0.6686465925001841,1.846253543854652,0.06009455168617112,0.88,0.12,0.13134719503236295,0.996883510051035,0.003116489948965121,1.0238954242434821,0.9718585135312178,0.517057066875487,0.2772463053676703,0.17016568844751753,0.84,1.1620262999931583,400,1,0.5865892895982369,0.5422799420129245,0.003116489948965121,0.11482234504346531,0.02814148646878223,resource_skew,84.0,8.0,0.9906566698313833,0.1963383631246505,1.3597399555105182e-16,8.777083671441753e-17,0.6092914508833541,0.6175195249674421,1.0,1.0
S4,8,RFOTO-ABC-D,0.24757884885087217,0.5993863059646837,1.846253543854652,0.05252301735214094,0.89,0.11,0.13012402958710442,0.9956759380401832,0.004324061959816867,1.0273110770799188,0.9718292460968213,0.517057066875487,0.2772463053676703,0.17025671613514998,0.85,0.7618325000003097,400,1,0.5662976541226432,0.4792189030479011,0.004324061959816867,0.11612469754234406,0.02817075390317869,resource_skew,85.0,8.0,0.9924507340691916,0.17568452380080093,1.1102230246251565e-16,3.925231146709438e-17,3.3144643357424464e-17,4.053115844726563e-17,1.0,1.0
S4,9,RFOTO-ABC,0.28705473416287947,0.7466658097975416,1.543197967058897,0.07866947684519675,0.87,0.13,0.10392639972494255,0.9990490014805549,0.0009509985194451953,1.0150911973105894,0.9791517793262956,0.6315968147774161,0.24233548417477346,0.14591820847442627,0.79,1.1224538999958895,400,1,0.621124579434713,0.6683405986159514,0.0009509985194451953,0.11282026682745508,0.0208482206737044,resource_skew,79.0,8.0,0.994057391395721,0.15554690794233555,1.7109685898544713e-16,1.8410966031475738e-16,0.7258405744811972,0.7433401266763435,1.0,1.0
S4,9,RFOTO-ABC-D,0.2668841306967776,0.6574921093290902,1.4496669424580906,0.06826928865061611,0.9,0.1,0.098885796919878,0.9977220448309473,0.002277955169052819,1.0200765506087275,0.9796425117964891,0.6315968147774161,0.24233548417477346,0.14415452663003953,0.8,0.8252109000022756,400,1,0.6156644046194708,0.5465759621817263,0.002277955169052819,0.10988968380125477,0.02035748820351091,resource_skew,80.0,8.0,0.9875475216597168,0.223606797749979,1.8824747269678055e-16,0.0,1.567104637483945e-16,2.6226043701171877e-17,1.0,1.0
