scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,perturbation,budget,episode,slot,load_state,active_users,load_scale,overlap_fraction,assignment_changes
S6-dynamic-budget,11,Warm-RFOTO,0.3133112197975435,0.7154431248396189,1.5019135054570056,0.06777250441526764,0.8737864077669902,0.1262135922330097,0.12735518235257404,0.9979027856350485,0.002097214364951643,1.0299451711975145,0.9736638120949611,0.4745937505407324,0.24682561953961835,0.16446441386299276,0.8640776699029126,0.12644070000533247,40,1,0.6642485648163838,0.6670342910882896,0.002097214364951643,0.1712962554858319,0.026336187905038888,mild,40,0,11,mild,103,1.0065728245612118,0.8446601941747572,26
S6-dynamic-budget,12,Cold-RFOTO,0.242643048624087,0.5721912067647809,1.8266479855965587,0.0746415420327961,0.8811881188118812,0.1188118811881188,0.07787108201148811,0.998853018861765,0.0011469811382347516,1.0313778758944634,0.9829815074902886,0.6456030972924174,0.31419636505700216,0.1315793904256578,0.8514851485148515,0.11180659999808995,40,1,0.5818621287829051,0.4771026675148523,0.0011469811382347516,0.09131978478811684,0.017018492509711436,mild,40,0,12,mild,101,1.0418924841246162,0.900990099009901,0
S6-dynamic-budget,12,Warm-RFOTO,0.242643048624087,0.5721912067647809,1.8266479855965587,0.0746415420327961,0.8811881188118812,0.1188118811881188,0.07787108201148811,0.998853018861765,0.0011469811382347516,1.0313778758944634,0.9829815074902886,0.6456030972924174,0.31419636505700216,0.1315793904256578,0.8514851485148515,0.11774090000108117,40,1,0.5818621287829051,0.4771026675148523,0.0011469811382347516,0.09131978478811684,0.017018492509711436,mild,40,0,12,mild,101,1.0418924841246162,0.900990099009901,33
S6-dynamic-budget,13,Cold-RFOTO,0.24785773197821503,0.522178250586284,1.486750051256895,0.05696573723600452,0.8541666666666666,0.14583333333333334,0.08799917857390926,0.9987008482741583,0.0012991517258417451,1.0238653880135786,0.9806836196762547,0.5652106200852298,0.4884345918267871,0.1403454744986729,0.8333333333333334,0.12651740000001155,40,1,0.5996393038386367,0.4344756870459799,0.0012991517258417451,0.11847706227171492,0.019316380323745275,mild,40,0,13,mild,96,1.038591027166651,0.9375,0
S6-dynamic-budget,13,Warm-RFOTO,0.2584357184181153,0.5226630733235578,1.486750051256895,0.058427454486834195,0.84375,0.15625,0.10150769757311673,0.9986685638722284,0.001331436127771618,1.0256803555254723,0.9780589437210715,0.5635666876925862,0.3516132044429036,0.14977738756887848,0.8333333333333334,0.11304349999409169,40,1,0.6045993717433238,0.48178062316228587,0.001331436127771618,0.12584534536219172,0.021941056278928506,mild,40,0,13,mild,96,1.038591027166651,0.9375,35
S6-dynamic-budget,0,Cold-RFOTO,0.28710006446600056,0.6788253921815235,1.9231416786843099,0.07297064239961526,0.8736842105263158,0.12631578947368421,0.13643816219649552,0.9987926327283242,0.0012073672716759046,1.0393210758802724,0.972947506910917,0.4860562018945855,0.20007030109058843,0.16674735072826607,0.8421052631578947,0.11992909999389667,40,1,0.6191532481704881,0.6009135409684995,0.0012073672716759046,0.15150149544162395,0.027052493089082974,mild,40,1,0,mild,95,1.0493401166364347,0.0,0
S6-dynamic-budget,0,Warm-RFOTO,0.2835725744728284,0.6748607615865008,1.9231416786843099,0.07146119049921966,0.8736842105263158,0.12631578947368421,0.13568275721323614,0.99879775626534,0.0012022437346600994,1.0389677254010818,0.9731047148025807,0.4860562018945855,0.20007030109058843,0.16624871170996164,0.8421052631578947,0.12048689999937778,40,1,0.6140578967590311,0.5876167070070213,0.0012022437346600994,0.15056341082189006,0.02689528519741935,mild,40,1,0,mild,95,1.0493401166364347,0.0,0
S6-dynamic-budget,1,Cold-RFOTO,0.26539527645194405,0.6164547502770008,1.5381017225898233,0.0850048105535547,0.8673469387755102,0.1326530612244898,0.06997247836341423,0.9975645201948088,0.0024354798051910522,1.0341566655261416,0.9850344837849392,0.6874932253455758,0.34386174933370867,0.12325942394284348,0.8163265306122449,0.11387209999520564,40,1,0.6147608576057065,0.6085773225562525,0.0024354798051910522,0.0707461610951289,0.014965516215060815,mild,40,1,1,mild,98,0.9363794191796171,0.8469387755102041,0
S6-dynamic-budget,1,Warm-RFOTO,0.2903581072506592,0.6261180876415888,1.7330724097956174,0.07999379483003584,0.8673469387755102,0.1326530612244898,0.09764824384171292,0.9975414985368483,0.0024585014631516946,1.032825190159788,0.9796787921679416,0.6691537629313868,0.2611039986160771,0.14402334900628228,0.8061224489795918,0.11606250000477303,40,1,0.6723396895806013,0.5576833929131934,0.0024585014631516946,0.14032317780436293,0.020321207832058374,mild,40,1,1,mild,98,0.9363794191796171,0.8469387755102041,45
S6-dynamic-budget,2,Cold-RFOTO,0.3003193439404094,0.6013960195294247,1.5674997672832602,0.06601991404723755,0.8645833333333334,0.13541666666666666,0.10876183492896856,0.9975156676392011,0.0024843323607990596,1.0338820869739587,0.9763230640796501,0.6229428293501832,0.3403296776113632,0.1557277378370964,0.8645833333333334,0.1249074000006658,40,1,0.6597551499200565,0.6041342294628479,0.0024843323607990596,0.16284806072302316,0.023676935920349917,mild,40,1,2,mild,96,1.0785438050790386,0.8958333333333334,0
S6-dynamic-budget,2,Warm-RFOTO,0.3003193439404094,0.6013960195294247,1.5674997672832602,0.06601991404723755,0.8645833333333334,0.13541666666666666,0.10876183492896856,0.9975156676392011,0.0024843323607990596,1.0338820869739587,0.9763230640796501,0.6229428293501832,0.3403296776113632,0.1557277378370964,0.8645833333333334,0.11444959999789717,40,1,0.6597551499200565,0.6041342294628479,0.0024843323607990596,0.16284806072302316,0.023676935920349917,mild,40,1,2,mild,96,1.0785438050790386,0.8958333333333334,39
S6-dynamic-budget,3,Cold-RFOTO,0.28991949999971584,0.6108697308136468,2.0250046544471543,0.07493138474449579,0.9,0.1,0.11133052192322623,0.9964378766744051,0.0035621233255949745,1.0353220652936506,0.9749918563651973,0.5542679129082864,0.28951485104171815,0.16015490102962981,0.91,0.114399099998991,40,1,0.6192856439645879,0.6030385405236707,0.0035621233255949745,0.1607146468787154,0.02500814363480275,mild,40,1,3,mild,100,0.981398491926902,0.85,0
S6-dynamic-budget,3,Warm-RFOTO,0.28991949999971584,0.6108697308136468,2.0250046544471543,0.07493138474449579,0.9,0.1,0.11133052192322623,0.9964378766744051,0.0035621233255949745,1.0353220652936506,0.9749918563651973,0.5542679129082864,0.28951485104171815,0.16015490102962981,0.91,0.1192672000033781,40,1,0.6192856439645879,0.6030385405236707,0.0035621233255949745,0.1607146468787154,0.02500814363480275,mild,40,1,3,mild,100,0.981398491926902,0.85,35
S6-dynamic-budget,4,Cold-RFOTO,0.3102283851518948,0.5699686438844895,1.309535406526436,0.06624412504286478,0.845360824742268,0.15463917525773196,0.10613646693661899,0.9986467872450462,0.0013532127549540603,1.0249494260665075,0.9777591291054512,0.5967235157712637,0.30378935319250916,0.15082035363682345,0.8350515463917526,0.12642610000330023,40,1,0.6694261290816652,0.6781587119047795,0.0013532127549540603,0.1501650916423541,0.022240870894548848,mild,40,1,4,mild,97,0.9684730321153925,0.8865979381443299,0
S6-dynamic-budget,4,Warm-RFOTO,0.3089988545170659,0.5772081970086637,1.4442435701211327,0.06473796906109723,0.845360824742268,0.15463917525773196,0.11822870941612126,0.9986768457433794,0.0013231542566206267,1.0230242410053891,0.9747107515156058,0.5678662136476875,0.30378935319250916,0.1610757208415361,0.8247422680412371,0.11663359999511158,40,1,0.6753014076043458,0.6461167069597451,0.0013231542566206267,0.15679191379213783,0.025289248484394178,mild,40,1,4,mild,97,0.9684730321153925,0.8865979381443299,32
S6-dynamic-budget,5,Cold-RFOTO,0.2750752496024909,0.6351685845085914,1.604507063591605,0.07228781814154965,0.8709677419354839,0.12903225806451613,0.13614455652024043,0.9975874915593815,0.0024125084406184014,1.0373530854540187,0.9723549668126523,0.6142344679450095,0.22777630421537587,0.16861497378748794,0.8602150537634409,0.1327534999945783,40,1,0.5755495401496808,0.6215330893787139,0.0024125084406184014,0.13331457796815127,0.02764503318734768,mild,40,1,5,mild,93,1.025552370488734,0.8924731182795699,0
S6-dynamic-budget,5,Warm-RFOTO,0.27667548931631436,0.6451889902869145,1.604507063591605,0.07225825865103708,0.8709677419354839,0.12903225806451613,0.13614455652024043,0.99758236726286,0.00241763273714012,1.0371131912291893,0.9723544134889737,0.6142344679450095,0.22777630421537587,0.1686167091949442,0.8602150537634409,0.11757480000233045,40,1,0.5826588289379695,0.6203451537713478,0.00241763273714012,0.13331457796815127,0.027645586511026332,mild,40,1,5,mild,93,1.025552370488734,0.8924731182795699,32
S6-dynamic-budget,6,Cold-RFOTO,0.29194993202779246,0.6256468198157291,2.1942406072167486,0.08691906702052347,0.8409090909090909,0.1590909090909091,0.11596369759775277,0.9969737431243314,0.003026256875668641,1.0359040306304872,0.9736879592947989,0.4985641791426102,0.32085736189303127,0.16438696085549792,0.8295454545454546,0.12188900000182912,40,1,0.6374082293356708,0.5991127445192835,0.003026256875668641,0.15271562214027312,0.0263120407052011,mild,40,1,6,mild,88,1.0491283033412055,0.9318181818181818,0
