scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss
S4,3,RFOTO-ABC-RF,0.28075029791393563,0.5732552588953471,1.3087265463395605,0.07134418910902753,0.86,0.14,0.05355106155756631,0.9992603749999732,0.0007396250000267757,1.0156367011612952,0.9887681049842307,0.6500838716215394,0.5345070075623551,0.10658087793947711,0.82,0.9316944000311196,400,1,0.5409075619918985,0.6151852948517672,0.0007396250000267757,0.043940574004401024,0.011231895015769267
S4,3,RFOTO-ABC-DG,0.4888238367378967,1.026689043690106,3.4163266515044257,0.11523062192394928,0.56,0.44,0.3941243633998656,0.9971191128973146,0.002880887102685201,1.0522461280644033,0.9213493770907528,0.3533825861634628,0.29395308964911715,0.29217221297308293,0.49,0.7922593000112101,400,1,1.0625147049120398,0.7549767946697007,0.002880887102685201,0.39029948181003005,0.07865062290924718
S4,4,RFOTO-ABC,0.2612195667423825,0.6316261637791242,1.3616553100264783,0.06675798012278975,0.94,0.06,0.09673699011733027,0.9986018938185052,0.0013981061814948926,1.0170414597577264,0.9801429904552048,0.9215317860041947,0.2493068645183027,0.14233516301702548,0.87,0.9778457999927923,400,1,0.5434627841354934,0.6641796316608796,0.0013981061814948926,0.08987501316543581,0.01985700954479519
S4,4,RFOTO-ABC-R,0.26142889187451457,0.6350081952126074,1.3466823183710785,0.06709792271899617,0.94,0.06,0.09673699011733027,0.9986687987764816,0.0013312012235184778,1.0166707195139242,0.9801425244564415,0.9215317860041947,0.2493068645183027,0.1423368669844797,0.87,0.9166321000084281,400,1,0.5458020583199182,0.6617650828462572,0.0013312012235184778,0.08987501316543581,0.019857475543558545
S4,4,RFOTO-ABC-F,0.303760476836203,0.6317028016128112,1.3466823183710785,0.06687368473250181,0.94,0.06,0.09673699011733027,0.9986194195815636,0.001380580418436299,1.0170369598689877,0.9801437344865945,0.9215317860041947,0.2493068645183027,0.1423324423587026,0.87,0.9978553999681026,400,1,0.543149738261903,0.6644273424683371,0.001380580418436299,0.08987501316543581,0.01985626551340547
S4,4,RFOTO-ABC-D,0.2404455250558848,0.5721946274265178,1.2000486517730566,0.05858038908802966,0.94,0.06,0.10456398475465259,0.9986163109555268,0.0013836890444732786,1.0167429688669654,0.9781672790421592,0.574443004369055,0.2493068645183027,0.14939888854581493,0.87,0.7100556999212131,400,1,0.5375237841524846,0.5246313195987523,0.0013836890444732786,0.09527294050152017,0.021832720957840834
S4,4,RFOTO-ABC-G,0.5930757745032057,1.3506378613041148,3.795530901081064,0.14427758525784878,0.51,0.49,0.5163019306876045,0.9968109647063976,0.003189035293602336,1.044128896448128,0.9004508880776181,0.2947205692068272,0.2432225624633034,0.3324977261561993,0.47,1.1608141999458894,400,1,1.207222979384238,1.0846255809452925,0.003189035293602336,0.4520240746730984,0.09954911192238192
S4,4,RFOTO-ABC-S,0.2612195667423825,0.6316261637791242,1.3616553100264783,0.06675798012278975,0.94,0.06,0.09673699011733027,0.9986018938185052,0.0013981061814948926,1.0170414597577264,0.9801429904552048,0.9215317860041947,0.2493068645183027,0.14233516301702548,0.87,0.9625202000606805,400,1,0.5434627841354934,0.6641796316608796,0.0013981061814948926,0.08987501316543581,0.01985700954479519
S4,4,RFOTO-ABC-RF,0.2997528465280649,0.63997543278755,1.2881322257119305,0.06465664183029013,0.91,0.09,0.1082420906164521,0.9985707313930241,0.0014292686069758388,1.0175040714524313,0.977786608485201,0.6242049788589863,0.2493068645183027,0.1507250349018398,0.84,0.8845180000644177,400,1,0.5527815603262153,0.6123752295830485,0.0014292686069758388,0.09780956523379569,0.022213391514798952
S4,4,RFOTO-ABC-DG,0.4869046861345579,1.0951899090850117,3.5683625231329303,0.11828653668831642,0.56,0.44,0.4078020791575214,0.9958532223404579,0.0041467776595420615,1.065733923682141,0.922934073929546,0.2947205692068272,0.2305999378261843,0.2889654107816425,0.49,0.7906700000166893,400,1,1.0398172658292935,0.850452646191859,0.0041467776595420615,0.3479729132239166,0.07706592607045404
S4,5,RFOTO-ABC,0.32328542409182104,0.6684307171878414,1.642497899682497,0.08043820716299978,0.86,0.14,0.09868156629103758,0.9969729118495384,0.0030270881504616976,1.0302528616263003,0.9785965965395723,0.5582888280692289,0.27166097769663833,0.14789025867716213,0.83,1.0028923999052495,400,1,0.7164845592262546,0.6764456926200181,0.0030270881504616976,0.1555260089723925,0.021403403460427683
S4,5,RFOTO-ABC-R,0.3157294409954835,0.6827545398632647,1.6422707070280147,0.07691712171980786,0.85,0.15,0.10292701049482161,0.996471140994116,0.003528859005883964,1.0353093835102838,0.9777917005018506,0.5579094616768194,0.27166097769663833,0.15070736600436785,0.82,0.876801099977456,400,1,0.719362876308935,0.6283224856563437,0.003528859005883964,0.15041332937559582,0.022208299498149398
S4,5,RFOTO-ABC-F,0.3721319990901128,0.669180103644328,1.6167300241765694,0.080241963429402,0.86,0.14,0.08835008517764917,0.9967958772556297,0.003204122744370418,1.033716743955231,0.9812332380335085,0.7056396518312533,0.27166097769663833,0.13829565873011299,0.84,0.97682610002812,400,1,0.7138507152676182,0.6779945245061105,0.003204122744370418,0.14203806873960284,0.01876676196649152
S4,5,RFOTO-ABC-D,0.3070074644443489,0.6157461805797123,1.451627433008682,0.07147148275471317,0.88,0.12,0.09273618227418635,0.996820425000831,0.003179574999169077,1.0316677872787186,0.979556795990176,0.5608245213469679,0.27166097769663833,0.14446401151768132,0.84,0.6986743999877945,400,1,0.7116348712517687,0.587597601018778,0.003179574999169077,0.14902684350913037,0.020443204009824023
S4,5,RFOTO-ABC-G,0.6334688148092884,1.3228193535590844,3.728388578057275,0.15711234884377212,0.36,0.64,0.52358589597375,0.9986041066677038,0.0013958933322961442,1.0563057844115022,0.9082090271216807,0.36013623990191035,0.23862427433521283,0.31791211572955075,0.34,1.1571213999995962,400,1,1.362330635512042,0.9667233690490699,0.0013958933322961442,0.5353193039028417,0.09179097287831928
S4,5,RFOTO-ABC-S,0.32328542409182104,0.6684307171878414,1.642497899682497,0.08043820716299978,0.86,0.14,0.09868156629103758,0.9969729118495384,0.0030270881504616976,1.0302528616263003,0.9785965965395723,0.5582888280692289,0.27166097769663833,0.14789025867716213,0.83,1.014495600014925,400,1,0.7164845592262546,0.6764456926200181,0.0030270881504616976,0.1555260089723925,0.021403403460427683
S4,5,RFOTO-ABC-RF,0.3748764015726748,0.6654752762158607,1.6422707070280147,0.07917229437297582,0.87,0.13,0.09843233925227053,0.9969635976304719,0.0030364023695280875,1.0308249273723418,0.9785982461600967,0.5582888280692289,0.27166097769663833,0.14788443476381502,0.83,0.8634856001008302,400,1,0.7143838040810688,0.6706917704781128,0.0030364023695280875,0.15535177708353576,0.02140175383990328
