scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,parameter,value
S4,0,RFOTO-ABC,0.3212040626713438,0.7092409688269287,1.830379009343232,0.09322262609134134,0.83,0.17,0.09075139898086988,0.9979929354503994,0.002007064549600783,1.0313328184568749,0.981029789961026,0.6102141517604452,0.2872373808768982,0.13905767762257437,0.82,0.7167969000292942,280,1,0.6589744867002215,0.9024274712352246,0.002007064549600783,0.07139750358095404,0.018970210038974034,abandonment_limit,15.0
S4,1,RFOTO-ABC,0.31582796412929376,0.7608938539713421,2.3304221327166896,0.09145603136821062,0.87,0.13,0.15414429192191437,0.9991502066939387,0.000849793306061265,1.0103707218177542,0.9671683259957964,0.43809332692772285,0.23822063161043922,0.18424490237916646,0.78,0.6753719000844285,280,1,0.6736625012187146,0.7142799050102413,0.000849793306061265,0.14070257324494417,0.032831674004203615,abandonment_limit,15.0
S4,2,RFOTO-ABC,0.27353891482207987,0.6811560715730436,2.135878478936465,0.07639851685055254,0.86,0.14,0.12191006895542746,0.9974918748191882,0.002508125180811652,1.0276594339122544,0.9750203447516659,0.5695081417485217,0.23860879579044939,0.16006131524955786,0.84,0.7096737999236211,280,1,0.5843999795618996,0.6426122086604952,0.002508125180811652,0.10719406123647295,0.02497965524833412,abandonment_limit,15.0
S4,3,RFOTO-ABC,0.292340385653256,0.6083810041624089,1.2591009970019678,0.06819756937787527,0.89,0.11,0.09981532792356716,0.9986606580010554,0.0013393419989444944,1.0158329671517519,0.9791857721250657,0.56805549477151,0.24201108960011772,0.14579667015382577,0.86,0.7643306000391021,280,1,0.6460372787162404,0.5943019495356318,0.0013393419989444944,0.15318308385128832,0.020814227874934255,abandonment_limit,15.0
S4,4,RFOTO-ABC,0.2586761580768134,0.6460480972022089,1.6068852671469527,0.08890143295965164,0.9,0.1,0.0649702300463858,0.9991530237541147,0.0008469762458852215,1.0183398756448259,0.9855705863585638,0.6970118972635099,0.3853131959798628,0.12099863604088185,0.82,0.69961070001591,280,1,0.5694114869492998,0.6653945746566139,0.0008469762458852215,0.05672117138241544,0.01442941364143624,abandonment_limit,15.0
S4,5,RFOTO-ABC,0.2664199605633052,0.6776436519313316,1.6453985033220013,0.0981249674470044,0.86,0.14,0.07232302417488698,0.9990664267651956,0.0009335732348041991,1.0195996977845285,0.9848543525598245,0.6938436640841457,0.3304339746101377,0.12401034543757729,0.83,0.7182543999515474,280,1,0.5798343899006708,0.6909927153948194,0.0009335732348041991,0.06141557606370946,0.015145647440175547,abandonment_limit,15.0
S4,0,RFOTO-ABC,0.3238327643941604,0.7068471057214044,1.830379009343232,0.09290947178466746,0.82,0.18,0.10245185083398735,0.9980434925556387,0.0019565074443611374,1.029198579774193,0.9782741732677904,0.6072544791627188,0.2872373808768982,0.14902456463046104,0.81,0.7273919000290334,280,1,0.6610478828413106,0.9011454552517408,0.0019565074443611374,0.07899519958947189,0.021725826732209574,abandonment_limit,35.0
S4,1,RFOTO-ABC,0.31582796412929376,0.7608938539713421,2.3304221327166896,0.09145603136821062,0.87,0.13,0.15414429192191437,0.9991502066939387,0.000849793306061265,1.0103707218177542,0.9671683259957964,0.43809332692772285,0.23822063161043922,0.18424490237916646,0.78,0.6941775000886992,280,1,0.6736625012187146,0.7142799050102413,0.000849793306061265,0.14070257324494417,0.032831674004203615,abandonment_limit,35.0
S4,2,RFOTO-ABC,0.27353891482207987,0.6811560715730436,2.135878478936465,0.07639851685055254,0.86,0.14,0.12191006895542746,0.9974918748191882,0.002508125180811652,1.0276594339122544,0.9750203447516659,0.5695081417485217,0.23860879579044939,0.16006131524955786,0.84,0.6655179000226781,280,1,0.5843999795618996,0.6426122086604952,0.002508125180811652,0.10719406123647295,0.02497965524833412,abandonment_limit,35.0
S4,3,RFOTO-ABC,0.29228714723624616,0.6082159202728309,1.2591009970019678,0.06813302307626594,0.89,0.11,0.09974873918807925,0.9986588042123692,0.001341195787630689,1.0158343171077395,0.9791996606342944,0.56805549477151,0.24201108960011772,0.14574698625292923,0.86,0.7878020000644028,280,1,0.6461045995709409,0.5939249522112748,0.001341195787630689,0.1531358577977508,0.020800339365705578,abandonment_limit,35.0
S4,4,RFOTO-ABC,0.2586767503421871,0.6462049598012335,1.6068852671469527,0.08875703693342368,0.9,0.1,0.06567007349534136,0.9991313617181824,0.0008686382818176486,1.0185316517173644,0.9853557306320799,0.692101019960222,0.3853131959798628,0.12190943851415909,0.82,0.7146525999996811,280,1,0.5689052421114744,0.6652695224550921,0.0008686382818176486,0.05715857353801266,0.01464426936792007,abandonment_limit,35.0
S4,5,RFOTO-ABC,0.2651443771916965,0.6737876376816425,1.6453985033220013,0.09803335377797313,0.86,0.14,0.07272876241868771,0.9990698809799773,0.0009301190200226628,1.0196934654349974,0.9846120279305774,0.6887131733862737,0.3304339746101377,0.1250138488828903,0.82,0.7059833999956027,280,1,0.5787489433098857,0.6836552565055054,0.0009301190200226628,0.061658533095925463,0.01538797206942255,abandonment_limit,35.0
S4,0,RFOTO-ABC,0.3238327643941604,0.7068471057214044,1.830379009343232,0.09290947178466746,0.82,0.18,0.10245185083398735,0.9980434925556387,0.0019565074443611374,1.029198579774193,0.9782741732677904,0.6072544791627188,0.2872373808768982,0.14902456463046104,0.81,0.6997533000539988,280,1,0.6610478828413106,0.9011454552517408,0.0019565074443611374,0.07899519958947189,0.021725826732209574,abandonment_limit,55.0
S4,1,RFOTO-ABC,0.31582796412929376,0.7608938539713421,2.3304221327166896,0.09145603136821062,0.87,0.13,0.15414429192191437,0.9991502066939387,0.000849793306061265,1.0103707218177542,0.9671683259957964,0.43809332692772285,0.23822063161043922,0.18424490237916646,0.78,0.7060216000536457,280,1,0.6736625012187146,0.7142799050102413,0.000849793306061265,0.14070257324494417,0.032831674004203615,abandonment_limit,55.0
S4,2,RFOTO-ABC,0.27353891482207987,0.6811560715730436,2.135878478936465,0.07639851685055254,0.86,0.14,0.12191006895542746,0.9974918748191882,0.002508125180811652,1.0276594339122544,0.9750203447516659,0.5695081417485217,0.23860879579044939,0.16006131524955786,0.84,0.6810678999172524,280,1,0.5843999795618996,0.6426122086604952,0.002508125180811652,0.10719406123647295,0.02497965524833412,abandonment_limit,55.0
S4,3,RFOTO-ABC,0.29228714723624616,0.6082159202728309,1.2591009970019678,0.06813302307626594,0.89,0.11,0.09974873918807925,0.9986588042123692,0.001341195787630689,1.0158343171077395,0.9791996606342944,0.56805549477151,0.24201108960011772,0.14574698625292923,0.86,0.7681419000728056,280,1,0.6461045995709409,0.5939249522112748,0.001341195787630689,0.1531358577977508,0.020800339365705578,abandonment_limit,55.0
S4,4,RFOTO-ABC,0.2586767503421871,0.6462049598012335,1.6068852671469527,0.08875703693342368,0.9,0.1,0.06567007349534136,0.9991313617181824,0.0008686382818176486,1.0185316517173644,0.9853557306320799,0.692101019960222,0.3853131959798628,0.12190943851415909,0.82,0.7230655000312254,280,1,0.5689052421114744,0.6652695224550921,0.0008686382818176486,0.05715857353801266,0.01464426936792007,abandonment_limit,55.0
