scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,bandwidth_scale,cpu_scale
S3,2,RFOTO-ABC,0.4350454439323999,0.9947435276818934,2.434962015013501,0.1187793343284666,0.6,0.4,0.2561299322484498,0.9989328388043737,0.0010671611956262173,1.0143567089157812,0.9484232784254502,0.42721930531189434,0.2960964668047695,0.23319850619525956,0.55,0.527461800025776,280,1,0.9237491370120257,0.9381035040159402,0.0010671611956262173,0.22177077440677895,0.051576721574549844,0.75,0.75
S3,3,RFOTO-ABC,0.38378497949247975,0.8235667265424893,1.9011366440678352,0.11072956478806484,0.62,0.38,0.1422813574244166,0.9985921314113451,0.0014078685886550557,1.0103527521006384,0.9748474931685093,0.6127107843320925,0.3146223577246927,0.16062838697059342,0.61,0.4975720999063924,280,1,0.8763274100635731,0.8197786560526221,0.0014078685886550557,0.1507275153049542,0.02515250683149073,0.75,0.75
S3,4,RFOTO-ABC,0.38617649932251397,0.9677675053497669,2.1560942432586745,0.1143983110843721,0.57,0.43,0.16172078460828274,0.9988210637461079,0.0011789362538920222,1.0103231679744837,0.9721794981506596,0.5954702780984797,0.3235932275063516,0.1691645083393868,0.68,0.5687543000094593,280,1,0.8396645160968027,0.9116453445705328,0.0011789362538920222,0.1404188243382155,0.027820501849340373,0.75,0.75
S3,5,RFOTO-ABC,0.40533801522817137,0.7671151775377087,1.5461203121202278,0.10441107236966753,0.66,0.34,0.1412224639351117,0.9991991324675764,0.0008008675324233661,1.0279706354632647,0.9721531402030051,0.5621014085902218,0.36402856783224974,0.16924691938595102,0.57,0.5719280999619514,280,1,0.8896382607264633,0.9068467624206664,0.0008008675324233661,0.17025693282968654,0.02784685979699486,0.75,0.75
S3,6,RFOTO-ABC,0.37937199916107334,1.0392402299070986,2.146863180035174,0.1383370042204084,0.54,0.46,0.1871726315734881,0.9998266978533035,0.00017330214669654674,1.0163865505735277,0.967414523173371,0.5864418559541623,0.3215072885602193,0.18352943971660005,0.6,0.5836634000297636,280,1,0.8623871168495675,0.8207542308832971,0.00017330214669654674,0.14295841345141275,0.032585476826629045,0.75,0.75
S3,7,RFOTO-ABC,0.36027203106878647,1.0255237494539813,2.2022189247586246,0.10943634275111959,0.54,0.46,0.18997968540477378,0.9986100529157853,0.0013899470842145822,1.0162224386475964,0.9654020736799486,0.5183404694487417,0.2959343269603696,0.18930885165062372,0.68,0.5560739999637008,280,1,0.8305652537954069,0.7513333803280515,0.0013899470842145822,0.13785212882350545,0.03459792632005143,0.75,0.75
S3,0,RFOTO-ABC,0.4347980930880757,1.0625225513903465,2.108414868166427,0.16042063306748472,0.55,0.45,0.25160750051922326,0.9988317444917351,0.0011682555082648516,1.0181684636470212,0.9516648252641526,0.4648205615259751,0.31111056854480124,0.22536664408726348,0.73,0.5391416000202298,280,1,0.872888151816442,1.1234684587232489,0.0011682555082648516,0.16228743605379145,0.048335174735847364,0.75,1.0
S3,1,RFOTO-ABC,0.3845447745539935,0.7895516914107386,1.525686389476363,0.10928465268369504,0.73,0.27,0.13791669981708765,0.9996819658973926,0.0003180341026076039,1.0048917382541829,0.971229092540749,0.5184458371935631,0.31958408901372876,0.1721138972354774,0.64,0.5186427000444382,280,1,0.8438577860880471,0.8674813686428058,0.0003180341026076039,0.15631551918460684,0.02877090745925104,0.75,1.0
S3,2,RFOTO-ABC,0.4227675405720725,0.9338493356596455,2.434962015013501,0.12151711981949082,0.64,0.36,0.2153794009302313,0.9989361323070398,0.001063867692960143,1.0132918295763373,0.9561924872615493,0.42721930531189434,0.2960964668047695,0.21404329818586404,0.59,0.5373447999591008,280,1,0.8715589506517757,0.9921581240497035,0.001063867692960143,0.19708073540925378,0.04380751273845074,0.75,1.0
S3,3,RFOTO-ABC,0.3616933027554946,0.7544361031813999,1.7558854348799224,0.09995623457526646,0.7,0.3,0.10921187059211471,0.9988767444965867,0.0011232555034131197,1.0084501050938006,0.9795216818695186,0.6836948068624207,0.3146223577246927,0.14459061865553594,0.67,0.4848679999122396,280,1,0.821451092937798,0.8042120274979139,0.0011232555034131197,0.1296093063044125,0.0204783181304814,0.75,1.0
S3,4,RFOTO-ABC,0.36304581611775544,0.8730527372355923,2.092781423547968,0.11427232125937913,0.68,0.32,0.1213530706131613,0.9987459434234482,0.0012540565765519185,1.0112998006761869,0.9773561505076918,0.6156958471801507,0.3235932275063516,0.15221193417650417,0.69,0.6033670000033453,280,1,0.7682507300062936,0.9211164488077722,0.0012540565765519185,0.11667311022343821,0.022643849492308243,0.75,1.0
S3,5,RFOTO-ABC,0.3823054766582652,0.711191894429506,1.4280810243330666,0.10237651685427496,0.72,0.28,0.11325587286859008,0.9992531576595927,0.000746842340407351,1.0260200009541391,0.9778424991692853,0.5673979168937208,0.45710898461521765,0.15053099516235194,0.58,0.5706558000529185,280,1,0.8196504435837427,0.9257751494983285,0.000746842340407351,0.14021439897956625,0.02215750083071466,0.75,1.0
S3,6,RFOTO-ABC,0.3534037575585362,0.9460382036919208,2.0822820207789796,0.13303744944763843,0.63,0.37,0.1359163854133343,0.9998112914649946,0.00018870853500542407,1.0156515514449382,0.9750397252851808,0.5994901647641362,0.44687135909747,0.15999762106487644,0.65,0.5866126000182703,280,1,0.7978951576276929,0.8205645862155972,0.00018870853500542407,0.10825398922019779,0.02496027471481921,0.75,1.0
S3,7,RFOTO-ABC,0.3363512152152313,0.9349676719013656,1.8654184194732473,0.11061716284501076,0.68,0.32,0.15396884653328585,0.9985098662166433,0.0014901337833566153,1.016823615625908,0.9691156978872616,0.5597266177125446,0.2959343269603696,0.17851761739779473,0.7,0.5589422000339255,280,1,0.7602601784140017,0.7518529625847599,0.0014901337833566153,0.11431021660173903,0.030884302112738404,0.75,1.0
S3,0,RFOTO-ABC,0.413493445127913,1.004279360355996,2.0390628807819122,0.15523547378213812,0.62,0.38,0.2237986649498147,0.9992186807871712,0.000781319212828766,1.0170032819636496,0.9569665894771586,0.4648205615259751,0.2498825514148808,0.21205791914492966,0.74,0.5141092999838293,280,1,0.8242080230158615,1.0959378158609545,0.000781319212828766,0.14575796629524995,0.043033410522841375,0.75,1.25
