scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,budget,comparison_suite
S2,5,Standard-ABC,0.5235427581095792,1.261232151207726,3.498667741222746,0.15396318174879306,0.52,0.48,0.4458494489890906,0.9975946740302524,0.002405325969747565,1.0517896459240406,0.9125154214163261,0.4002853965356564,0.23769323444676266,0.3096318629020651,0.56,0.5827733000041917,320,1,1.1224980674187135,0.8016434883053221,0.002405325969747565,0.4362718641104074,0.08748457858367387,320,advanced
S2,5,GA,0.3760716780228052,0.8838030183513536,2.362081822862546,0.12578167326888037,0.68,0.32,0.18553340370614646,0.9981612150982109,0.0018387849017890057,1.0585896692615173,0.9617959054983083,0.49032509857743406,0.39269645982472395,0.1993028427948947,0.6,0.6173779999953695,320,1,0.8350674653927367,0.7497834918314819,0.0018387849017890057,0.19495566697714883,0.03820409450169171,320,advanced
S2,5,PSO,0.9866706872799876,1.9136686846307454,5.399032575497187,0.20797793783485777,0.3,0.7,0.9235970696017488,0.9989075826873551,0.0010924173126448866,1.0546933469725053,0.8592624317155813,0.26387195581136713,0.11128724764055443,0.4047082982144709,0.3,0.7259707999764942,320,1,2.050116173352293,1.049358476285139,0.0010924173126448866,1.1816350151758073,0.14073756828441875,320,advanced
S2,5,DE,1.0955721555149882,2.2499437069399137,6.061474440438245,0.22607919906431037,0.24,0.76,1.2815939833353167,0.9982063320414128,0.0017936679585870885,1.0555989638857217,0.8177187439354039,0.20238893777237876,0.09396594788062945,0.4721380802780079,0.3,0.5631509999511763,320,1,2.1883920945786226,1.3207478372198427,0.0017936679585870885,1.290644137143797,0.1822812560645961,320,advanced
S2,5,Gbest-ABC,0.23825006768786386,0.5097049351994045,1.2353461750016597,0.06201251907728206,0.92,0.08,0.04363184000742822,0.9996467474309542,0.00035325256904590987,1.0124613681697787,0.9897965605321579,0.9148433982906965,0.48026809334126747,0.10153138863114114,0.94,0.596594600006938,320,1,0.5217827429234809,0.562936164857066,0.00035325256904590987,0.08705116317779289,0.01020343946784208,320,advanced
S2,5,MeABC,0.23825006768786386,0.5097049351994045,1.2353461750016597,0.06201251907728206,0.92,0.08,0.04363184000742822,0.9996467474309542,0.00035325256904590987,1.0124613681697787,0.9897965605321579,0.9148433982906965,0.48026809334126747,0.10153138863114114,0.94,0.5692498000571504,320,1,0.5217827429234809,0.562936164857066,0.00035325256904590987,0.08705116317779289,0.01020343946784208,320,advanced
S2,5,JADE,0.23538388755729434,0.5075517928067671,1.2353461750016597,0.0609922819241408,0.94,0.06,0.04324251077790535,0.9996499015587968,0.00035009844120315937,1.0126617404617024,0.9897936141409366,0.9204898727519173,0.48026809334126747,0.10154619804364735,0.92,0.5635133000323549,320,1,0.5213788006209469,0.5448479436295677,0.00035009844120315937,0.08684407316208924,0.010206385859063416,320,advanced
S2,5,LSHADE-lite,0.23825006768786386,0.5097049351994045,1.2353461750016597,0.06201251907728206,0.92,0.08,0.04363184000742822,0.9996467474309542,0.00035325256904590987,1.0124613681697787,0.9897965605321579,0.9148433982906965,0.48026809334126747,0.10153138863114114,0.94,0.570937899989076,320,1,0.5217827429234809,0.562936164857066,0.00035325256904590987,0.08705116317779289,0.01020343946784208,320,advanced
S2,5,CMAES-lite,0.23825006768786386,0.5097049351994045,1.2353461750016597,0.06201251907728206,0.92,0.08,0.04363184000742822,0.9996467474309542,0.00035325256904590987,1.0124613681697787,0.9897965605321579,0.9148433982906965,0.48026809334126747,0.10153138863114114,0.94,0.5616339999833144,320,1,0.5217827429234809,0.562936164857066,0.00035325256904590987,0.08705116317779289,0.01020343946784208,320,advanced
S2,5,GWO,0.23825006768786386,0.5097049351994045,1.2353461750016597,0.06201251907728206,0.92,0.08,0.04363184000742822,0.9996467474309542,0.00035325256904590987,1.0124613681697787,0.9897965605321579,0.9148433982906965,0.48026809334126747,0.10153138863114114,0.94,0.6383836999884807,320,1,0.5217827429234809,0.562936164857066,0.00035325256904590987,0.08705116317779289,0.01020343946784208,320,advanced
S2,6,RFOTO-ABC,0.19694235223515785,0.5325995334891901,1.0180057772752247,0.05577986023161977,0.98,0.02,0.01111486963744063,0.9986151363435911,0.001384863656408688,1.0151341830380907,0.9974384108627664,0.9897260223851295,0.6427794888118037,0.05067709273219228,0.98,0.5606173999840394,320,1,0.4327473760295646,0.5742496925324776,0.001384863656408688,0.00782737298411312,0.0025615891372335886,320,advanced
