scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss
S3,29,Max-SINR,0.407490181766868,0.9369184310514147,2.017184627416198,0.1201279074177385,0.77,0.23,0.1549890310189924,0.9987299571148288,0.0012700428851709921,1.01892378725644,0.9697611443570845,0.581899351105953,0.19124694629003558,0.17658356738224387,0.96,0.001386399962939322,1,1,0.8445824434583062,1.0123544803118203,0.0012700428851709921,0.15880624772818752,0.030238855642915508
S3,29,Delay-Greedy,0.5036521947317492,1.1076845933816588,2.184367835563787,0.12935221753926215,0.6,0.4,0.2473130143943375,0.9987115273478355,0.0012884726521645107,1.0211338801771117,0.955827946539418,0.5045551642299025,0.19124694629003558,0.21497300753722942,0.95,0.005030700005590916,1,1,0.9265612018575422,1.3540141790143563,0.0012884726521645107,0.24810505946276,0.04417205346058195
S3,29,Load-Aware,0.3958598025338235,0.9888091910726822,2.251520138003521,0.11624006230601663,0.73,0.27,0.17125346452950926,0.999573995277506,0.0004260047224941244,1.0058356855201744,0.9683361455869193,0.5948949989842617,0.19124694629003558,0.18082930717984722,0.71,0.006058000028133392,1,1,0.8292428102159879,0.8781645474807117,0.0004260047224941244,0.20795855500503554,0.03166385441308073
S3,29,Offload-then-Allocate,0.4029742272022177,0.9270546538645642,1.9393850411759008,0.10990502761272648,0.79,0.21,0.12998880986590503,0.9985173526047643,0.0014826473952355313,1.0235515066325573,0.9760942146971224,0.6223261999035546,0.19124694629003558,0.15649686356207224,0.96,0.0038565000286325812,1,1,0.8637447195451244,0.9707412142189604,0.0014826473952355313,0.15017787163445515,0.02390578530287757
S4,0,RFOTO-ABC,0.2742800500620135,0.6274689771577427,1.536611481865258,0.08890442761028149,0.92,0.08,0.05105349602003445,0.9973574980688281,0.0026425019311718968,1.0181423786968498,0.9876865365016205,0.6771943819998806,0.4292872626404285,0.11165560953987898,0.87,0.927891599945724,375,1,0.590524858379686,0.7235138112972961,0.0026425019311718968,0.06298497544602523,0.012313463498379473
S4,0,Standard-ABC,0.7131740240294708,1.6511902853227798,4.105535230577398,0.17725801216265563,0.34,0.66,0.6980379151502646,0.9979629425688376,0.0020370574311623525,1.042254148997172,0.8812764895940813,0.28202050034382387,0.22110229992916702,0.36703905029598854,0.3,0.8980992999859154,375,1,1.4620898426955031,1.1242605158946506,0.0020370574311623525,0.6431861916971087,0.11872351040591866
S4,0,GA,0.5454546690465777,1.262303233932525,3.9942886974706755,0.1231566765551899,0.49,0.51,0.4407016816680808,0.9986723659075377,0.0013276340924621899,1.056904024421695,0.9179890921250077,0.32386029317479814,0.252580936291157,0.29889389836768765,0.37,0.8986612000735477,375,1,1.2200435386958444,0.7799206479526635,0.0013276340924621899,0.44355409671990353,0.08201090787499232
S4,0,PSO,0.8774782806402109,1.9035221728246632,4.780478105317667,0.1659468154463112,0.22,0.78,0.8762711791640112,0.9984785644557855,0.001521435544214449,1.0883988325551375,0.8631840970543874,0.27487489731563375,0.2111831078409376,0.39812236498202597,0.13,1.0582370000192896,375,1,1.890449529909932,0.936239869420829,0.001521435544214449,0.9744129807956751,0.13681590294561263
S4,0,DE,0.88599481281722,1.9935578438536714,4.814867782137093,0.16542413410294501,0.22,0.78,0.9398720554915504,0.9994821626832555,0.0005178373167445094,1.0809609530850293,0.8614156038640618,0.2501757723348584,0.09883308735349795,0.4010982800554625,0.13,0.974666399997659,375,1,1.9063190345175633,0.9341190880627878,0.0005178373167445094,0.9936238563786858,0.1385843961359382
S4,0,Local-only,0.9225117965774926,2.042452274577665,4.780478105317667,0.18099888923479274,0.15,0.85,0.9487308878445759,1.0,0.0,0.0,0.8631565893176624,0.2524807104218185,0.2111831078409376,0.39816872995162483,0.0,0.0005405000410974026,1,1,1.9865187728529587,1.0,0.0,1.021422367047609,0.13684341068233763
S4,0,Random-feasible,0.7960663216721336,1.719061243530548,4.364063046206285,0.1869133521861381,0.32,0.68,0.7547848824159186,0.9979281065430007,0.0020718934569991755,1.0473482966135046,0.8721234673671109,0.27497512318497225,0.22110229992916702,0.38291857984877725,0.29,0.002576799946837127,1,1,1.600957508970085,1.2391695894095052,0.0020718934569991755,0.761422589727414,0.12787653263288912
S4,0,Max-SINR,0.3046062348299864,0.6594656479847183,1.5851571996770963,0.0917458217871484,0.85,0.15,0.06181207130263215,0.9983919832134767,0.0016080167865232032,1.0134168850801744,0.9868076670828172,0.6449858853190163,0.4525241522514795,0.11562308256398825,0.94,0.0022094999440014362,1,1,0.6736345859079649,0.7710505051308081,0.0016080167865232032,0.07295823715396767,0.013192332917182803
S4,0,Delay-Greedy,0.3200443584308549,0.6894422463504946,1.737881864983745,0.09533058697650362,0.85,0.15,0.08264504345103489,0.9967767055933523,0.003223294406647682,1.0272366769043946,0.9809766718254639,0.6035818401472527,0.3719577284689159,0.13925599802765684,0.95,0.0044293999671936035,1,1,0.6488176071326952,0.8654084371645289,0.003223294406647682,0.09812213186196725,0.019023328174536114
S4,0,Load-Aware,0.28789941711148703,0.6346555981018904,1.5699476800382894,0.09323615267730746,0.89,0.11,0.06379569058148796,0.9973010987804409,0.0026989012195590377,1.018263245679892,0.9850810330687033,0.6108352760804474,0.44337519265183245,0.12306467158933047,0.84,0.005187600036151707,1,1,0.6180875305167043,0.7267639174605302,0.0026989012195590377,0.08634128631850041,0.014918966931296684
S4,0,Offload-then-Allocate,0.2642335703774655,0.5731360745775377,1.1704494518005384,0.07717608877488119,0.94,0.06,0.03391062766874476,0.9963388932418643,0.003661106758135768,1.0316874338406081,0.9917734532393333,0.9012538990213441,0.43596576186108554,0.09107570582038335,0.97,0.004479299997910857,1,1,0.5895036722723977,0.7073811241221962,0.003661106758135768,0.035137121301237716,0.008226546760666698
