scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,reference_objective,reference_type,reference_gap_percent
S0-small,1,DE,0.14873859709862725,0.30148108965664355,0.7399900455388153,0.07019947627272953,0.8333333333333334,0.16666666666666666,0.03640020319224232,0.9967294406890007,0.003270559310999288,1.0014708518981934,0.995431468451795,0.8625331134132084,0.8207477013974106,0.06774583985985655,0.8333333333333334,0.20240730000659823,600,1,0.32760333918646634,0.40025560152495804,0.003270559310999288,0.02184012191534539,0.004568531548205024,0.08019524548801021,best observed: high-budget DE/RFOTO-ABC plus compared runs,85.47059266857008
S0-small,1,Delay-Greedy,0.1220190537819405,0.23035898227457186,0.6791590472626343,0.06692261541008004,0.8333333333333334,0.16666666666666666,0.03640020319224232,0.991367955772415,0.008632044227585048,1.001294657423525,0.9955216251101214,0.8556508482030567,0.8207477013974106,0.06707101425449633,0.8333333333333334,0.00042830000165849924,1,1,0.22783375263847616,0.38134946709657536,0.008632044227585048,0.02184012191534539,0.004478374889878567,0.08019524548801021,best observed: high-budget DE/RFOTO-ABC plus compared runs,52.15247866556286
S0-small,2,RFOTO-ABC,0.03955374419077831,0.11529797361212867,0.16322699790193784,0.00639773343019959,1.0,0.0,0.0,0.9999805236186733,1.94763813266922e-05,1.011816472527421,0.9999999984165892,0.9999167012602337,0.9998918316644474,3.979174447629974e-05,1.0,0.18393850000575185,600,1,0.12306104424068066,0.05856391744554118,1.94763813266922e-05,0.0,1.5834108468837371e-09,0.03955374419077831,best observed: high-budget DE/RFOTO-ABC plus compared runs,0.0
S0-small,2,Standard-ABC,0.03999023768486705,0.1180220717684574,0.1595145844223214,0.006205015843005646,1.0,0.0,0.0,0.9999804881860292,1.9511813970844265e-05,1.0118453348852843,0.9999999984173475,0.9999166481112675,0.9998918316644474,3.978221845319246e-05,1.0,0.14264750003349036,600,1,0.12672960138693262,0.055359564919612386,1.9511813970844265e-05,0.0,1.5826524535356157e-09,0.03955374419077831,best observed: high-budget DE/RFOTO-ABC plus compared runs,1.1035453230000507
S0-small,2,GA,0.04090708509026075,0.12341695881328817,0.20532279731811143,0.006329069497249831,1.0,0.0,0.0,0.9990706312343186,0.0009293687656814117,1.034795763233907,0.9999956733487724,0.9958178405544337,0.9944237874059115,0.0020800648835620833,1.0,0.13361900008749217,600,1,0.12908289156781144,0.05633226298324975,0.0009293687656814117,0.0,4.326651227626321e-06,0.03955374419077831,best observed: high-budget DE/RFOTO-ABC plus compared runs,3.4215241241256846
S0-small,2,PSO,0.0426419764334332,0.12057919458974602,0.1885202969287847,0.007195713435802991,1.0,0.0,0.0,0.9990706312343186,0.0009293687656814117,1.034795763233907,0.9999956733487724,0.9958178405544337,0.9944237874059115,0.0020800648835620833,1.0,0.13235199998598546,600,1,0.12936433095807923,0.06742913962061974,0.0009293687656814117,0.0,4.326651227626321e-06,0.03955374419077831,best observed: high-budget DE/RFOTO-ABC plus compared runs,7.807686240168602
S0-small,2,DE,0.13694788128751512,0.20696659851267815,0.3789928564687244,0.022663823815285356,1.0,0.0,0.0,0.9990706312343186,0.0009293687656814117,1.0521936448508606,0.9999956733487724,0.9958178405544337,0.9944237874059115,0.0020800648835620833,0.6666666666666666,0.17154749995097518,600,1,0.318701639803894,0.3805729905714747,0.0009293687656814117,0.0,4.326651227626321e-06,0.03955374419077831,best observed: high-budget DE/RFOTO-ABC plus compared runs,246.23240881312972
S0-small,2,Delay-Greedy,0.04141831733757598,0.12182320731050744,0.2039019832348641,0.006576352602676556,1.0,0.0,0.0,0.9999995590125845,4.4098741547315967e-07,1.002337079795969,0.9999999999989997,0.9999980155566304,0.9999973540755072,9.86078273068037e-07,1.0,0.0014398000203073025,1,1,0.1289775383236575,0.06115896372685642,4.4098741547315967e-07,0.0,1.000310945187266e-12,0.03955374419077831,best observed: high-budget DE/RFOTO-ABC plus compared runs,4.714024386172721
S0-small,3,RFOTO-ABC,0.10870941788398988,0.2276001138856243,0.6725720491532978,0.040744149586219865,0.8333333333333334,0.16666666666666666,0.009370751252001137,0.993122964117329,0.006877035882670968,1.0447672727469899,0.9994759324204018,0.949761519496689,0.9467684122910132,0.022898523323708717,0.8333333333333334,0.21206190006341785,600,1,0.2683272131078272,0.25443719445420226,0.006877035882670968,0.00803207250171526,0.0005240675795982197,0.10728910519457008,best observed: high-budget DE/RFOTO-ABC plus compared runs,1.3238181890361111
S0-small,3,Standard-ABC,0.1118531294309401,0.23818677087511278,0.6769950205297307,0.04189919906316287,0.8333333333333334,0.16666666666666666,0.009370751252001137,0.9916946228108784,0.008305377189121554,1.0479897902146504,0.9993884978026252,0.9476189460335087,0.9467684122910132,0.024736134724033423,0.8333333333333334,0.193059999961406,600,1,0.28818839191297624,0.24030141706557795,0.008305377189121554,0.00803207250171526,0.0006115021973748247,0.10728910519457008,best observed: high-budget DE/RFOTO-ABC plus compared runs,4.253949390381352
S0-small,3,GA,0.1073982139624101,0.22748723548599667,0.6747004367853757,0.04085112518619941,0.8333333333333334,0.16666666666666666,0.009370751252001137,0.9916946051406758,0.008305394859324225,1.048494749319993,0.9993884984083375,0.9476189460335087,0.9467684122910132,0.02473612246556637,0.8333333333333334,0.19444849994033575,600,1,0.269126738831877,0.24237137945598544,0.008305394859324225,0.00803207250171526,0.0006115015916624555,0.10728910519457008,best observed: high-budget DE/RFOTO-ABC plus compared runs,0.10169603674311037
S0-small,3,PSO,0.14769837568985053,0.3078888240610889,0.7812506272625492,0.044219576016004986,0.8333333333333334,0.16666666666666666,0.009370751252001137,0.9999994893236801,5.106763199165995e-07,1.0051938924343,0.9995995361784904,0.9600756102133674,0.9467684122910132,0.020015600340791622,0.6666666666666666,0.19831350003369153,600,1,0.3690906533527334,0.3557168167849864,5.106763199165995e-07,0.00803207250171526,0.00040046382150960014,0.10728910519457008,best observed: high-budget DE/RFOTO-ABC plus compared runs,37.663908578599624
S0-small,3,DE,0.15333572123216382,0.32376919881838756,0.7812506272625492,0.04408996410222762,0.8333333333333334,0.16666666666666666,0.009370751252001137,0.9999995136628987,4.863371013130724e-07,1.0048176751009008,0.9995995357588496,0.9600756102133674,0.9467684122910132,0.02001561083203435,0.6666666666666666,0.16629159997683018,600,1,0.38900323491913624,0.3601115164890543,4.863371013130724e-07,0.00803207250171526,0.0004004642411503667,0.10728910519457008,best observed: high-budget DE/RFOTO-ABC plus compared runs,42.918258991989596
