scenario,run,algorithm,objective,delay_mean_s,delay_p95_s,energy_mean_j,success_rate,violation_rate,violation_mean,reliability_mean,link_failure_rate,attempts_mean,jain,utility_p05,utility_min,utility_cv,offload_rate,runtime_s,evaluations,feasible,t_hat,e_hat,r_hat,v_hat,fairness_loss,additional_blockage_probability
S4,2,Standard-ABC,0.6554289085886907,1.4405640895106677,3.8415861118672963,0.17354259675108744,0.37,0.63,0.62618081481934,0.99675156912507,0.003248430874929935,1.0811347676742025,0.8968402565562088,0.3517046251852514,0.11185378692869849,0.3391544967100009,0.33,0.9332814000081271,350,1,1.389751719953074,0.9566441038906026,0.003248430874929935,0.5934828613011087,0.1031597434437912,0.0
S4,2,Max-SINR,0.27710155350049,0.6821873399159063,1.9425749118586746,0.07798194618996472,0.84,0.16,0.13546711616155732,0.9978201185039111,0.002179881496088871,1.019768685375143,0.9720479840777688,0.5525481608459107,0.22975804830932958,0.16957534743765668,0.85,0.0018570000538602471,1,1,0.6472433218806491,0.5272653268542912,0.002179881496088871,0.12628858125852618,0.027952015922231177,0.0
S4,3,RFOTO-ABC,0.3106152236373953,0.6685464848905043,1.3505770585503292,0.10017534895642856,0.89,0.11,0.05106923751585788,0.9989714937575772,0.0010285062424227843,1.0203181701158104,0.9887435160110668,0.8128396537942938,0.38621359106324077,0.10669880481976816,0.84,0.8603265999117866,350,1,0.6113857906762966,0.9324715602544599,0.0010285062424227843,0.06401547233331045,0.011256483988933197,0.0
S4,3,RFOTO-ABC-R,0.3147696787314749,0.7704050572195155,1.6795545630280266,0.10147104731446667,0.79,0.21,0.11706800196921381,0.9981767850583164,0.0018232149416835108,1.0231883834390076,0.9749632630044824,0.4903845428541773,0.3723755712467225,0.1602487821931235,0.78,0.7985489000566304,350,1,0.6824299471303013,0.7478520004790112,0.0018232149416835108,0.11145695335753408,0.02503673699551756,0.0
S4,3,Standard-ABC,0.7024220240460471,1.6067549550909919,4.321029968380232,0.1847413722414393,0.39,0.61,0.6912489426463627,0.998065377341523,0.0019346226584769021,1.0679190831565686,0.8796395887426255,0.28812074896515766,0.18653464678670778,0.3699043581142734,0.33,0.9750114000635222,350,1,1.4478035895914994,1.0848439050465155,0.0019346226584769021,0.6372142186835735,0.12036041125737451,0.0
S4,3,Max-SINR,0.3889220495044952,0.7378320060783284,2.3050798659014853,0.1286586650032249,0.77,0.23,0.12691757224541553,0.9986045881848983,0.001395411815101678,1.0137710784653828,0.9731701523625882,0.49070986355091006,0.328068079263888,0.16604076016148922,0.94,0.0016963999951258302,1,1,0.7640942395786996,1.020731080305847,0.001395411815101678,0.1619410722212447,0.026829847637411808,0.0
S4,4,RFOTO-ABC,0.2890957551457792,0.633685389509553,1.4741546355857347,0.07829212806717879,0.87,0.13,0.06935053476460536,0.9975472145868054,0.0024527854131946437,1.0342804331567106,0.986061212437197,0.7220030139075108,0.2780158823810062,0.11889417062196957,0.86,0.8700403000693768,350,1,0.6424585958245503,0.6506185360293846,0.0024527854131946437,0.11322780227269792,0.013938787562802979,0.0
S4,4,RFOTO-ABC-R,0.30779117162762587,0.6543041457475488,1.5162990424089096,0.08017626642821567,0.85,0.15,0.09367745648495256,0.9981133206636322,0.0018866793363677447,1.030715060185081,0.9805880181014671,0.6153768555948073,0.2780158823810062,0.14069920635442612,0.83,0.8086774999974295,350,1,0.6876346127260534,0.6419717698175907,0.0018866793363677447,0.14519047928568168,0.019411981898532882,0.0
S4,4,Standard-ABC,0.718359798502271,1.589545464675638,4.543709661010915,0.1831476645700467,0.38,0.62,0.6731348686577467,0.9983485206552415,0.001651479344758562,1.0743702967533082,0.8802550128920418,0.3092304334034902,0.18318471975514844,0.3688284532492338,0.32,0.9866073000011966,350,1,1.5079628710091342,0.9981087752933446,0.001651479344758562,0.693442882083361,0.11974498710795822,0.0
S4,4,Max-SINR,0.28289462405236737,0.5989216024942435,1.505079874054738,0.07622248709397153,0.89,0.11,0.06053142770207294,0.9977551601785393,0.0022448398214605404,1.0298317415345013,0.9874843227040002,0.7649023238694067,0.2780158823810062,0.11258021497975725,0.94,0.0015099000884220004,1,1,0.6590141528033704,0.5869417012299158,0.0022448398214605404,0.1110940444333814,0.012515677295999783,0.0
