suite,contrast,scenario,budget,initialization,reference,comparator,n,reference_mean,comparator_mean,mean_paired_difference,mean_relative_gain_pct,ci_low_pct,ci_high_pct,p_raw,wins,ties,losses,p_holm
controlled,matched_search,S2,1000,random,RFOTO-ABC,Plain-ABC,20,0.3469325955130996,0.44052854921749074,0.09359595370439122,21.05248171975649,18.5785770117178,23.597664290738333,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S4,320,greedy,RFOTO-ABC,DE-RK,20,0.29552478305321794,0.3058836628644911,0.010358879811273147,3.1880507426045317,1.7657522935164587,4.9600031258654695,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S4,320,greedy,RFOTO-ABC,LSHADE-lite,20,0.29552478305321794,0.30425321265128885,0.008728429598070884,2.757543137629745,1.6015584161671477,4.125396132634793,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S4,320,greedy,RFOTO-ABC,No-fair-selection,20,0.29552478305321794,0.2972111906450161,0.0016864075917982142,0.44864868757922916,-0.3657736967335491,1.3616162387851911,0.2667689558251569,11,2,7,1.0
controlled,matched_search,S4,320,greedy,RFOTO-ABC,No-risk-sampling,20,0.29552478305321794,0.2995497425303771,0.0040249594771591705,1.3172986144820908,0.018560882576685294,2.7612546646549756,0.10842674449200547,14,0,6,1.0
controlled,matched_search,S4,320,greedy,RFOTO-ABC,Plain-ABC,20,0.29552478305321794,0.30085280575451206,0.005328022701294094,1.580341564944274,0.2750097557368139,3.0598112428230686,0.10045796448967022,12,0,8,1.0
controlled,matched_search,S4,320,greedy,RFOTO-ABC,Random-scout,20,0.29552478305321794,0.29552478305321794,0.0,0.0,0.0,0.0,1.0,0,20,0,1.0
controlled,matched_search,S4,320,greedy,RFOTO-ABC,Uniform-allocation,20,0.29552478305321794,0.27491031365834623,-0.020614469394871777,-7.504552196011595,-8.760235720015714,-6.241005902630115,8.857457687863547e-05,0,0,20,0.00744026445780538
controlled,matched_search,S4,320,random,RFOTO-ABC,DE-RK,20,0.6203851417906331,0.6981766149321464,0.07779147314151316,11.11927807430318,9.366798137235007,12.89188723871383,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S4,320,random,RFOTO-ABC,LSHADE-lite,20,0.6203851417906331,0.6196758839332163,-0.0007092578574168895,-0.11830766515238782,-2.483401982117176,2.4100681443492835,0.681322326150025,9,0,11,1.0
controlled,matched_search,S4,320,random,RFOTO-ABC,Plain-ABC,20,0.6203851417906331,0.6834956347697122,0.06311049297907904,9.080500531000252,7.286411944274863,10.792483333746576,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,DE-RK,20,0.29336955910622764,0.3058836628644911,0.012514103758263501,3.8772399632772574,2.322573920959819,5.93282451451867,8.857457687863547e-05,20,0,0,0.00744026445780538
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,LSHADE-lite,20,0.29336955910622764,0.2997610407616765,0.0063914816554488775,2.1245978739787863,0.6336758181987144,3.9142044794165614,0.0057339909503071225,16,0,4,0.1777537194595208
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,No-fair-selection,20,0.29336955910622764,0.2916636052062772,-0.001705953899950327,-0.6134014211838146,-2.4186054710221976,0.5871622466780042,0.681322326150025,11,0,9,1.0
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,No-risk-sampling,20,0.29336955910622764,0.29408750030049124,0.0007179411942637118,0.1296415325179186,-1.4839645778874444,1.9602149078813342,0.681322326150025,8,0,12,1.0
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,Plain-ABC,20,0.29336955910622764,0.2932342602151343,-0.00013529889109320514,-0.09335190308970359,-1.6610343054865084,1.6073569049186023,0.5256531981764858,6,0,14,1.0
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,Random-scout,20,0.29336955910622764,0.2931837395755999,-0.00018581953062772605,-0.04612795240615401,-0.1812521147194503,0.04285906324896025,0.7150006546880893,2,16,2,1.0
controlled,matched_search,S4,1000,greedy,RFOTO-ABC,Uniform-allocation,20,0.29336955910622764,0.2728229407182039,-0.02054661838802372,-7.5241078979801,-9.134434776216457,-6.160225586956127,8.857457687863547e-05,0,0,20,0.00744026445780538
controlled,matched_search,S4,1000,random,RFOTO-ABC,DE-RK,20,0.5270935581721794,0.6817720591487763,0.1546785009765967,22.664359039340358,20.981025847251257,24.378492266992293,8.857457687863547e-05,20,0,0,0.00744026445780538
