suite,scenario,budget,initialization,algorithm,theta,objective_mean,objective_std,violation_rate_mean,violation_rate_std,jain_mean,jain_std,r_hat_mean,r_hat_std,initial_objective_mean,initial_objective_std,initial_to_final_gain_pct_mean,initial_to_final_gain_pct_std,scout_count_mean,scout_count_std,accepted_neighbors_mean,accepted_neighbors_std,runtime_s_mean,runtime_s_std
controlled,S4,1000,random,Plain-ABC,0.8,0.6366734498197196,0.04489444164786268,0.575,0.04501461750891241,0.8966856175444619,0.008338036283337477,0.00198336834694061,0.0008070221632334711,0.7116581675936662,0.04988188469303591,10.506149590443545,2.629843576001173,0.4,0.5026246899500346,143.9,17.19210345049818,2.6744591949995082,0.11542437758769761
controlled,S4,1000,random,RFOTO-ABC,0.8,0.5270935581721795,0.039494098305321405,0.512,0.04007886961322243,0.9301510557443089,0.012387081861936902,0.002292418864322635,0.000793758399111266,0.7116581675936662,0.04988188469303591,25.853494580524178,4.050606837102712,0.0,0.0,226.2,17.984203595026628,2.9430777850015146,0.09437804206392689
controlled,S6,320,greedy,DE-RK,0.8,0.379926578273359,0.02659745854230295,0.313,0.049375041638889845,0.9674491889824758,0.005451550961257634,0.001275497244684585,0.0005417280006070539,0.379926578273359,0.02659745854230295,-3.13328708224888e-17,4.422768296499295e-15,-1.0,0.0,-1.0,0.0,1.2653455000006943,0.07320032649954279
controlled,S6,320,greedy,LSHADE-lite,0.8,0.3797475747697775,0.02641320507738311,0.31275,0.049642803050762976,0.9675183187676988,0.005367750529684371,0.001287276517053255,0.0005291079001492017,0.379926578273359,0.02659745854230295,0.04394674520931928,0.18327059840970447,-1.0,0.0,-1.0,0.0,1.2424073099999078,0.07477242948118606
controlled,S6,320,greedy,No-fair-selection,0.8,0.37497192419231856,0.025535955441173864,0.3095,0.049627560254782876,0.9688117275461361,0.005197366534889524,0.001273517072070935,0.0004259966407415171,0.379926578273359,0.02659745854230295,1.2802725918680085,1.4898464163090122,0.1,0.3077935056255462,64.8,6.802476329288204,1.2770947950008122,0.08683082252567384
controlled,S6,320,greedy,No-risk-sampling,0.8,0.3776779171507171,0.02638179123821492,0.31,0.051427004988675584,0.9675519358954409,0.00553932809872306,0.0012789956959526351,0.00048553764007317396,0.379926578273359,0.02659745854230295,0.5885203550632027,0.6237049853789173,0.0,0.0,50.5,6.320393059063069,1.2904255699999339,0.09453121106586579
controlled,S6,320,greedy,Plain-ABC,0.8,0.3777450569204267,0.025674721345802544,0.3115,0.05016026945281441,0.9674323199587687,0.005390049333925234,0.00128706654213954,0.0005387286578612605,0.379926578273359,0.02659745854230295,0.5589588149212494,0.755467654612193,0.15,0.36634754853252327,37.5,7.796760460871587,1.169977994999499,0.09639520897509728
controlled,S6,320,greedy,RFOTO-ABC,0.8,0.3750757127408975,0.026720057155784703,0.30874999999999997,0.04898643743559619,0.9688415890490554,0.0054946524438902935,0.0012775344306885299,0.0004060065063155767,0.379926578273359,0.02659745854230295,1.2753900074154074,1.4466643117078901,0.05,0.22360679774997896,65.95,8.375873874282892,1.2853960249998635,0.09781252432536927
controlled,S6,320,greedy,Random-scout,0.8,0.3750757127408975,0.026720057155784703,0.30874999999999997,0.04898643743559619,0.9688415890490554,0.0054946524438902935,0.0012775344306885299,0.0004060065063155767,0.379926578273359,0.02659745854230295,1.2753900074154074,1.4466643117078901,0.05,0.22360679774997896,65.8,8.192422686463644,1.2744630649987811,0.08767520412390561
controlled,S6,320,greedy,Uniform-allocation,0.8,0.3482864893436144,0.024053665505852046,0.231,0.038477607979050275,0.9715685893906324,0.004617316677050991,0.00145243179700208,0.0005052420895187105,0.3507397546089289,0.02347953047453313,0.7089271190343521,0.9091416958442544,0.1,0.3077935056255462,58.8,6.126731763776113,0.825687759998982,0.07062644646332321
controlled,S6,320,random,DE-RK,0.8,0.776146337647978,0.03413179424397414,0.7175,0.030413812651491106,0.8762124331317495,0.008866927838635307,0.002001952992906545,0.0006637163087400615,0.79016810572443,0.035589322349082846,1.7497529502742188,2.040027173485055,-1.0,0.0,-1.0,0.0,1.3425802700010536,0.07019325495064237
controlled,S6,320,random,LSHADE-lite,0.8,0.7244980476135311,0.03457811968224556,0.69175,0.03087645159596376,0.8825464468545722,0.0074331081391234965,0.001790797132185325,0.0006828815963210882,0.79016810572443,0.035589322349082846,8.275836060841128,2.958106244217109,-1.0,0.0,-1.0,0.0,1.415879199999472,0.08919485398713776
controlled,S6,320,random,Plain-ABC,0.8,0.7751483764852247,0.03716241631747406,0.7072499999999999,0.03130810387776705,0.8783724438775419,0.009062964954036638,0.00216710954880296,0.0006013164264163604,0.79016810572443,0.035589322349082846,1.8966945990107948,1.7470951548081268,0.0,0.0,39.55,5.539095499029459,1.346606095000243,0.09634406933574279
controlled,S6,320,random,RFOTO-ABC,0.8,0.7408106041356444,0.028886931708947714,0.6895,0.02869531412324282,0.8860488706798207,0.007879419205740245,0.002121573785845345,0.0006871755091696552,0.79016810572443,0.035589322349082846,6.202847269091243,2.0451520614286482,0.0,0.0,77.4,7.170113410245999,1.4617942650002078,0.1030306457122
controlled,S6,1000,greedy,DE-RK,0.8,0.379926578273359,0.02659745854230295,0.313,0.049375041638889845,0.9674491889824758,0.005451550961257634,0.001275497244684585,0.0005417280006070539,0.379926578273359,0.02659745854230295,-3.13328708224888e-17,4.422768296499295e-15,-1.0,0.0,-1.0,0.0,3.851292185001512,0.25987087037465556
controlled,S6,1000,greedy,LSHADE-lite,0.8,0.37918575541931593,0.026146228201806072,0.31275,0.0531005748804246,0.9673862524445216,0.005544756401572849,0.00127375310685578,0.0005111918490885602,0.379926578273359,0.02659745854230295,0.18767928681191867,0.33280390210964894,-1.0,0.0,-1.0,0.0,3.7169230099996637,0.29779888065547494
controlled,S6,1000,greedy,No-fair-selection,0.8,0.37060306307596147,0.024949234756791325,0.3085,0.04979167125449587,0.9699827038714843,0.005449198160728291,0.001318745457687175,0.0004009536263696338,0.379926578273359,0.02659745854230295,2.41137361602743,2.278852551439059,0.7,0.8013147091860319,191.95,12.894205144784594,4.010205089999727,0.28629654317454095
controlled,S6,1000,greedy,No-risk-sampling,0.8,0.37441651552169997,0.02610779440172263,0.30674999999999997,0.051305970720559875,0.9677543888802568,0.0053112498492952345,0.001327270781396825,0.0005030849817900763,0.379926578273359,0.02659745854230295,1.4399996983264343,1.1817247380614087,0.55,0.7591546545162482,158.65,13.6662280631374,4.057297330001165,0.3205597029179767
controlled,S6,1000,greedy,Plain-ABC,0.8,0.3753244183894874,0.0267015603028512,0.30825,0.05249749367451044,0.9674067051385176,0.005389198161082798,0.0012956637009741451,0.0005497225209893994,0.379926578273359,0.02659745854230295,1.2146492522822554,1.0599104374689843,1.05,0.9445132413883327,115.7,11.272229499736813,3.6839926399989054,0.26658904399786154
controlled,S6,1000,greedy,RFOTO-ABC,0.8,0.37125474107446677,0.025644817261012174,0.30575,0.049849114440743234,0.9701227604400321,0.00595171389657271,0.0013296361051283148,0.000422576258252727,0.379926578273359,0.02659745854230295,2.25740440855228,1.9991939860517298,0.65,0.7451598203705946,188.35,15.135441154699405,3.9832016650001605,0.26637384429703975
